table,name,type,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1736,1737,1738,1741,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1757,1758,1759,1760,1761,1762,1763,1764,poll,cencus
table_10,mohylow_podolski,town,,330,415,508,204,200,,,160,300,200,200,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,957
table_10,moztow,town,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,
table_10,nowy_konstantynow,town,84,184,144,180,188,200,200,300,250,300,220,264,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_10,okop,town,324,400,300,,,90,,,,,320,,416,498,,500,498,500,500,500,500,,,500,500,,,150,124,150,158,158,,,,,,,,,158,230
table_10,olchowiec,town,,,,,,,,,,,,,,,,,,,,50,72,100,120,120,,,,,104,70,71,73,43,45,,54,58,60,60,,60,24
table_10,orynin,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,300,320,300,365,332,338,328,,439,439,436
table_10,ozarzynce,town,,,,,,,,,,,,,,,150,123,172,250,400,608,642,674,796,696,810,750,750,720,873,711,550,570,766,780,760,704,735,750,750,890,890,322
table_10,pikow,town,114,100,200,209,,,,,,,,,,,,100,,200,,,,200,352,352,,352,,,,,,,,,,,,,,,352,287
table_10,pilawa,town,112,,205,,135,,,,140,164,160,176,208,150,,180,50,70,130,304,322,,,270,300,,310,,322,341,341,352,320,325,350,350,300,260,250,280,280,
table_10,pobuzniany,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391,391,222
table_10,ploskirow,town,200,,380,,,,50,,,,,,,300,,500,144,420,420,,640,,668,,612,635,683,763,833,700,726,,,,,,350,400,,,400,750
table_10,salicha,town,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,
table_10,podole,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
table_10,satanow,town,,530,450,1088,753,1100,856,940,940,302,900,640,,,900,,,,,,200,1300,,,750,,,,,,,,,,,,,,,,750,1625
table_10,sawince,town,,,,,,,,,,,,44,52,,55,70,90,90,130,228,270,270,230,,160,175,175,175,186,,,179,160,167,183,,,,,,183,82
table_10,serebria,town,100,,80,,120,,,,160,197,100,111,65,72,72,70,100,,120,230,200,160,268,150,176,200,214,100,103,107,,,,,,,,,,,107,
table_10,sidorow,town,,184,165,154,,120,140,246,246,246,160,176,,150,190,200,182,230,190,230,232,212,362,274,,220,220,220,243,200,180,186,130,,114,128,124,130,120,160,160,73
table_10,skala,town,216,220,300,359,,,420,,,500,,,585,585,618,450,572,611,515,400,410,390,,,,330,340,335,350,308,344,317,325,340,394,400,404,364,324,360,360,362
table_10,smotrycz,town,,,,314,372,420,430,,210,,,400,150,201,225,250,300,280,260,418,470,500,,1104,450,450,250,,,300,300,300,300,330,380,350,350,300,300,340,340,375
table_10,snidkow,town,,60,70,84,102,50,95,,,,240,300,312,375,,200,576,300,330,584,604,504,662,512,555,550,585,540,414,451,415,450,460,480,510,542,552,500,450,,,
table_10,snitowka,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,72,80,130,80,84,84,120,100,100,129
table_10,snydkow,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474,474,281
table_10,sokolec,town,,,,,,,,,,,,,,,,,364,370,,250,290,260,294,300,254,570,278,320,,284,287,300,300,300,370,372,380,380,350,430,430,356
table_10,solobkowiec,town,,180,,,135,166,,,,,,,,,,,390,284,450,570,,,,,630,260,530,,634,,,201,,680,820,,824,828,118,,118,530
table_10,stara_sieniawa,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834
table_10,studenica,town,134,70,110,155,,80,100,160,37,184,180,198,189,210,,150,169,195,80,172,150,,220,182,200,210,180,,,280,211,218,292,,336,300,305,270,270,360,360,274
table_10,sudkowce,town,,,,,,,,,,,,,,,,,,94,90,114,125,130,142,142,72,80,86,90,104,96,97,100,90,90,102,114,118,120,120,170,170,
table_10,szarawka,town,,,,258,,,,,300,351,300,,,,,,364,450,370,684,756,760,880,826,840,850,865,880,880,322,,,700,700,795,804,812,850,800,810,810,114
table_10,szarogrod,town,,,,,162,56,200,460,460,538,460,506,500,670,632,400,468,630,800,,1200,1186,1548,1460,542,1370,1740,1800,,1100,1100,1140,1140,1140,1100,1250,,708,1333,,1333,2219
table_10,szatawa,town,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,230,166,,,171,180,220,224,228,200,200,200,200,164
table_10,tarnowody,town,,,,,,,,,,,,,,,,,,,,,460,,,,,,,,184,506,,,,,,394,,,,,394,771
table_10,tatarzyska,town,,,,,,,,,,,,,,,,,,,,,,,200,,,,150,230,200,,,,,,,,,,,,200,
table_10,totals,total,6072,8639,8524,9229,8562,12700,12000,12000,12000,12000,12036,13000,13036,13036,13000,11000,13200,15000,15000,15000,21436,20000,20000,20000,20000,20000,20420,20000,23000,22000,21500,21500,21500,21500,25000,27500,24931,25250,30250,28000,37776,38084
table_10,tluste,town,,,,,,,,,,,,,,249,350,100,176,330,230,304,,,,,,,,240,280,266,266,275,260,260,292,242,242,242,220,252,252,355
table_10,ulanowiec,town,,,,,,,,,,120,120,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,
table_10,turylicz,town,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,50,
table_10,uszyca,town,,164,85,,84,,,70,70,80,101,123,40,90,100,100,129,150,,132,142,130,104,210,160,180,194,235,215,,,,231,240,274,288,280,260,,,260,338
table_10,ulanow,town,216,330,,,210,,,,160,165,,132,315,,,,208,250,250,380,300,252,280,282,236,245,245,275,280,384,347,370,370,370,408,410,412,412,420,594,594,345
table_10,wierzbowiec,town,134,50,75,,75,80,,,,60,70,77,65,70,80,32,78,90,100,152,162,110,170,134,150,160,140,145,155,203,229,250,260,281,318,320,324,160,160,180,180,202
table_10,ulaszkowiec,town,108,176,55,30,,200,150,340,340,234,260,236,238,180,280,,208,270,165,209,215,,,,168,120,,,80,96,96,100,90,100,,132,136,148,150,185,185,96
table_10,wierzbowka,town,50,60,70,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,
table_10,wonkowce,town,,,,,,,,,,,,,,,,,,,,304,206,240,322,394,320,340,397,410,,,120,441,,600,520,530,580,580,520,582,582,510
table_10,zaleszcze,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362
table_10,zamiechow,town,,,,,,,,,,50,,,,,,,,,,384,325,462,,500,274,350,380,450,590,580,469,485,495,500,520,524,528,510,480,560,560,505
table_10,zbrzyszcze,town,138,300,,23,,,,,,,,,,,490,,,,510,760,760,,,,,,,214,840,,,690,690,700,675,825,800,800,800,880,880,793
table_10,zinkow,town,120,278,120,189,207,220,220,246,200,234,320,352,162,339,50,200,312,425,220,,400,352,260,250,275,296,310,,364,459,465,480,400,416,,,,445,460,540,540,522
table_10,zwaniec,villages,,,,,,,,,60,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,
table_10,luczyniec,town,,,,,,120,80,160,160,100,240,264,312,249,200,150,208,,,,320,350,,374,,250,320,320,208,200,200,207,237,290,345,310,314,322,290,160,160,432
table_10,makow,town,,,,,,,,,,,,,,,,,,,,,,,150,,,,200,218,240,233,235,247,247,,350,360,404,380,350,,350,313
table_10,zwaniec,town,650,954,180,,,950,,,,,,738,,,835,,676,485,,610,1060,700,1045,,,934,1125,1325,1390,,,,791,800,1356,1356,1380,,,1320,1320,1568
