"מַפָּה","שם המאה ה-16","מחוז/מחוז","שם מודרני","שם במילון ההיסטורי והגיאוגרפי","אופי היישוב","סוג הבעלות"
"","Wola Leśnicka","urzędowski/lubelskie","Liśnik Mały","","wieś","s"
"","Dąbrowa Dworaki Serafiny","drohiczyński/podlaskie","","","",""
"","Olbięcin","urzędowski/lubelskie","","","wieś","s"
"","Dzierzniki","wieluński/sieradzkie","Dzietrzniki","","wieś","d"
"","Janowo","zakroczymski/mazowieckie","","","wieś","s"
"","Wojszczyce","zakroczymski/mazowieckie","","","wieś","s"
"","Smoły","zakroczymski/mazowieckie","","","wieś","s"
"","Kroczewo","zakroczymski/mazowieckie","","","wieś","s"
"","Wojny","zakroczymski/mazowieckie","","","wieś","s"
"","Sobole","zakroczymski/mazowieckie","","","wieś","s"
"","Koryciska","zakroczymski/mazowieckie","","","wieś","s"
"","Zajączki","zakroczymski/mazowieckie","","","wieś","s"
"","Dąbrowa Długa","drohiczyński/podlaskie","","","wieś","s"
"","Trębki Wielkie","zakroczymski/mazowieckie","Trębki - część","","wieś","s"
"","Załuski","zakroczymski/mazowieckie","","","wieś","s"
"","Zaręby Wielkie","zakroczymski/mazowieckie","Zaręby - część","","wieś","s"
"","Zaręby Małe","zakroczymski/mazowieckie","Zaręby - część","","wieś","s"
"","Gostolino","zakroczymski/mazowieckie","Gostolin","","wieś","d"
"","Niepiekły","zakroczymski/mazowieckie","Niepiekła","","wieś","s"
"","Falibogi","zakroczymski/mazowieckie","Falibogi Wielkie","","wieś","s"
"","Glinnik","urzędowski/lubelskie","","","wieś","s"
"","Goczałkowice","urzędowski/lubelskie","","","wieś","s"
"","Sadowie","urzędowski/lubelskie","","","wieś","s"
"","Dąbrowa Zabłotne","drohiczyński/podlaskie","","","",""
"","Strachocin*","urzędowski/lubelskie","","","wieś","s"
"","Wrzawy","urzędowski/lubelskie","","","wieś","s"
"","Wola Gołkowska","tarczyński/mazowieckie","","","wieś","s"
"","Mroczkowa Wola","tarczyński/mazowieckie","Henryków","","wieś","s"
"","Kały","tarczyński/mazowieckie","","","wieś","s"
"","Gołkowo","tarczyński/mazowieckie","Gołków","","wieś","s"
"","Głoskowo","tarczyński/mazowieckie","Głosków","","wieś","s"
"","Runowo","tarczyński/mazowieckie","Runów","","wieś","d"
"","Karlik","tarczyński/mazowieckie","","","wieś","s"
"","Siwki","wąsoski/mazowieckie","","","wieś","s"
"","Dąbrowa Gogole","drohiczyński/podlaskie","","","",""
"","Rosochate","wąsoski/mazowieckie","","","wieś","s"
"","Kurkowo","wąsoski/mazowieckie","","","wieś","s"
"","Gnatówko*","wąsoski/mazowieckie","","","wieś","s"
"","Grotniki","wiślicki/sandomierskie","Grotniki Duże","","wieś","k"
"","Nowe Miasto Korczyn","wiślicki/sandomierskie","Nowy Korczyn","","miasto","k"
"","Gruszów","wiślicki/sandomierskie","Gruszów Wielki","","wieś","s"
"","Niechłanino","szreński/płockie","Niechłonin","","wieś","s"
"","Potrykozy","szreński/płockie","Petrykozy","","wieś","s"
"","Gnojno Wielkie","szreński/płockie","Gnojno","","wieś","s"
"","Gnojenko","szreński/płockie","","","wieś","s"
"","Dąbrowa Kaski","drohiczyński/podlaskie","","","",""
"","Gruszka","szreński/płockie","","","wieś","s"
"","Zalesie","szreński/płockie","","","wieś","s"
"","Jabłonowo","szreński/płockie","","","wieś","s"
"","Gorysławice","wiślicki/sandomierskie","","","wieś","m"
"","Kobylniki","wiślicki/sandomierskie","Kobylniki Rządowe","","wieś","km"
"","Gościeradów","urzędowski/lubelskie","","","wieś","s"
"","Szczecin","urzędowski/lubelskie","Szczecyn","","wieś","s"
"","Wola Szczecka","urzędowski/lubelskie","Wólka Szczecka","","wieś","s"
"","Leśnik","urzędowski/lubelskie","Liśnik Duży","","wieś","s"
"","Lipowiec Kościelny","szreński/płockie","","","wieś","s"
"","Dąbrowa Łazy","drohiczyński/podlaskie","","","",""
"","Lipowiec Podborny","szreński/płockie","","","wieś","s"
"","Turza Wielka","szreński/płockie","Turza Wielka","","wieś","s"
"","Turza Mała","szreński/płockie","Turza Mała","","wieś","s"
"","Krępa","szreński/płockie","","","wieś","s"
"","Kęczewo","szreński/płockie","","","wieś","s"
"","Niedziałki","szreński/płockie","","","wieś","s"
"","Grąd Romocki+","szreński/płockie","","","wieś","s"
"","Niegocino","szreński/płockie","Niegocin","","wieś","s"
"","Romoka","szreński/płockie","Rumoka","","wieś","s"
"","Zawady","szreński/płockie","","","wieś","s"
"","Dąbrowa Tworki","drohiczyński/podlaskie","","","",""
"","Bystrzyca","koniński/kaliskie","Bystrzyca","Bystrzyca","wieś","s"
"","Popowice","wieluński/sieradzkie","","","wieś","d"
"","Kadłub","wieluński/sieradzkie","","","wieś","d"
"","Grębień","wieluński/sieradzkie","","","wieś","d"
"","Słubica","tarczyński/mazowieckie","Słubica Stara","","wieś","s"
"","Skuły","tarczyński/mazowieckie","","","wieś","s"
"","Grzmiąca","tarczyński/mazowieckie","","","wieś","s"
"","Wola Bukowa","tarczyński/mazowieckie","Bukówka Stara","","wieś","s"
"","Żędów","wiślicki/sandomierskie","Rzędów","","wieś","s"
"","Krzywołęcz","wiślicki/sandomierskie","","","wieś","s"
"","Grzybów","wiślicki/sandomierskie","","","wieś","s"
"","Dąbrowa Bydytki","drohiczyński/podlaskie","","","",""
"","Zięblice","wiślicki/sandomierskie","Ziemblice","","wieś","s"
"","Siedlec","wiślicki/sandomierskie","Sielec","","wieś","s"
"","Tuklęcz","wiślicki/sandomierskie","","","wieś","s"
"","Święcica","wiślicki/sandomierskie","","","wieś","s"
"","Świchów","wiślicki/sandomierskie","Sichów Duży","","wieś","s"
"","Świchowiec","wiślicki/sandomierskie","Sichów Mały","","wieś","s"
"","Koniemłoty","wiślicki/sandomierskie","","","wieś","s"
"","Lenartowice","wiślicki/sandomierskie","","","wieś","s"
"","Krzczonowice","wiślicki/sandomierskie","","","wieś","s"
"","Ujny","wiślicki/sandomierskie","","","wieś","s"
"","Dąbrowa Wilki","drohiczyński/podlaskie","","","",""
"","Szczeczno","wiślicki/sandomierskie","Szczecno","","wieś","s"
"","Pierzchniczka","wiślicki/sandomierskie","","","wieś","s"
"","Pierzchnica","wiślicki/sandomierskie","","","wieś","k"
"","Osiny","wiślicki/sandomierskie","","","wieś","k"
"","Gumienice","wiślicki/sandomierskie","","","wieś","s"
"","Strojnów","wiślicki/sandomierskie","","","wieś","s"
"","Korytowo","wyszogrodzki/mazowieckie","","","wieś","s"
"","Pluskocino","wyszogrodzki/mazowieckie","Pluskocin","","wieś","d"
"","Pomianowo-Wyszki","wyszogrodzki/mazowieckie","Pomianowo-Wyżgi","","wieś","s"
"","Skołatowo","wyszogrodzki/mazowieckie","","","wieś","d"
"","Trojanowo Wielkie","drohiczyński/podlaskie","","","",""
"","Sarnowo","wyszogrodzki/mazowieckie","Sarnowo - część","","wieś","s"
"","Gumowo","wyszogrodzki/mazowieckie","","","wieś","s"
"","Siekluki","wyszogrodzki/mazowieckie","","","wieś","s"
"","Żabino","wyszogrodzki/mazowieckie","Sarnowo - część","","wieś","s"
"","Pomianowo-Kusny","wyszogrodzki/mazowieckie","Pomianowo-Kuźmy","","wieś","s"
"","Pomianowo-Borzewuje","wyszogrodzki/mazowieckie","Pomianowo-Borzewojki","","wieś","s"
"","Zajki*","wąsoski/mazowieckie","","","wieś","s"
"","Łosiowo-Supiestany","wąsoski/mazowieckie","Łosiowo","","wieś","s"
"","Lipniki-Modzele","wąsoski/mazowieckie","Modzele","","wieś","s"
"","Okół","wąsoski/mazowieckie","","","wieś","s"
"","Piętki Gręski","drohiczyński/podlaskie","","","",""
"","Żarnowo","wąsoski/mazowieckie","Budne-Żarnowo","","wieś","s"
"","Ruda","wąsoski/mazowieckie","","","wieś","k"
"","Jabłonowo*","wąsoski/mazowieckie","","","wieś","s"
"","Wólka Przytuły","wąsoski/mazowieckie","Wólka Piaseczna","","wieś","k"
"","Osowiec","wąsoski/mazowieckie","","","wieś","s"
"","Jakubowice","wiślicki/sandomierskie","","","wieś","s"
"","Okunino","warszawski/mazowieckie","Okunin","","wieś","s"
"","Skierdy","warszawski/mazowieckie","","","wieś","s"
"","Wola Okuńska","warszawski/mazowieckie","Wólka Górska","","wieś","s"
"","Góra","warszawski/mazowieckie","","","wieś","s"
"","Kąty","drohiczyński/podlaskie","","","",""
"","Krobino","warszawski/mazowieckie","Krubin","","wieś","s"
"","Nowodwór","warszawski/mazowieckie","Nowy Dwór Mazowiecki","","miasto","s"
"","Janowo","warszawski/mazowieckie","Janówek","","wieś","d"
"","Suchocino","warszawski/mazowieckie","Suchocin","","wieś","s"
"","Piasek Mały","wiślicki/sandomierskie","","","wieś","s"
"","Żuków","wiślicki/sandomierskie","","","wieś","s"
"","Włosinowice","wiślicki/sandomierskie","Włosnowice","","wieś","s"
"","Janów","wiślicki/sandomierskie","Solec - część","","wieś","s"
"","Solec","wiślicki/sandomierskie","","","wieś","s"
"","Zborów","wiślicki/sandomierskie","","","wieś","s"
"","Trojanówko","drohiczyński/podlaskie","","","",""
"","Wełnin","wiślicki/sandomierskie","","","wieś","k"
"","Rakowiec","warszawski/mazowieckie","Warszawa-Rakowiec","","wieś","s"
"","Rakowo Wielkie","warszawski/mazowieckie","Warszawa-Raków","","wieś","s"
"","Służewo","warszawski/mazowieckie","Warszawa-Służew","","wieś","s"
"","Służewiec","warszawski/mazowieckie","Warszawa-Służewiec","","wieś","s"
"","Solipsy","warszawski/mazowieckie","Warszawa-Solipse","","wieś","s"
"","Stęclewice","warszawski/mazowieckie","Warszawa-Szczęśliwice","","wieś","s"
"","Szopy","warszawski/mazowieckie","Warszawa-Szopy Polskie","","wieś","s"
"","Witki*","warszawski/mazowieckie","Warszawa-Wierzbno","","wieś","s"
"","Włochy","warszawski/mazowieckie","Warszawa-Włochy","","wieś","s"
"","Żabiniec","drohiczyński/podlaskie","","","",""
"","Wyczółki","warszawski/mazowieckie","Warszawa-Wyczółki","","wieś","s"
"","Zbarz","warszawski/mazowieckie","Warszawa-Zbarz","","wieś","s"
"","Jemielinek","warszawski/mazowieckie","Warszawa-Imielin","","wieś","s"
"","Korzkiewki","warszawski/mazowieckie","Warszawa-Gorzkiewki","","wieś","s"
"","Okęcie","warszawski/mazowieckie","Warszawa-Okęcie","","wieś","s"
"","Kościesze-Wyględowo","warszawski/mazowieckie","Warszawa-Wyględów","","wieś","s"
"","Moczydła","warszawski/mazowieckie","Warszawa-Moczydło","","wieś","s"
"","Wolica Służewska","warszawski/mazowieckie","Warszawa-Wolica","","wieś","s"
"","Ojrzanowo","tarczyński/mazowieckie","Ojrzanów","","wieś","s"
"","Żelechów","tarczyński/mazowieckie","","","wieś","s"
"","Sobolewo","drohiczyński/podlaskie","","","",""
"","Zaręby","tarczyński/mazowieckie","Zaręby","","wieś","s"
"","Zalesie","tarczyński/mazowieckie","","","wieś","s"
"","Kaleń","tarczyński/mazowieckie","","","wieś","s"
"","Wola Wesoła","tarczyński/mazowieckie","Żabia Wola","","wieś","s"
"","Falęta","warszawski/mazowieckie","Falenty Duże","","wieś","d"
"","Jenczewice","warszawski/mazowieckie","Janczewice","","wieś","k"
"","Jaworowa","warszawski/mazowieckie","","","wieś","d"
"","Laszczki","warszawski/mazowieckie","","","wieś","s"
"","Michałowice","warszawski/mazowieckie","","","wieś","s"
"","Puchały-Rędziny","warszawski/mazowieckie","Puchały","","wieś","s"
"","Kapłania","drohiczyński/podlaskie","","","",""
"","Raszyniec","warszawski/mazowieckie","Raszyn","","wieś","d"
"","Górki","warszawski/mazowieckie","Raszyn - część","","wieś","s"
"","Reguły-Kuchy","warszawski/mazowieckie","Reguły - część","","wieś","s"
"","Reguły-Malichy","warszawski/mazowieckie","Reguły - część","","wieś","s"
"","Reguły Wielkie","warszawski/mazowieckie","Reguły - część","","wieś","s"
"","Reguły-Zalesie","warszawski/mazowieckie","Reguły - część","","wieś","s"
"","Skorosze","warszawski/mazowieckie","","","wieś","s"
"","Podolszynie-Dukaty","warszawski/mazowieckie","Podolszyn","","wieś","s"
"","Rybie","warszawski/mazowieckie","","","wieś","s"
"","Gramnice-Dawidy","warszawski/mazowieckie","Warszawa-Dawidy","","wieś","s"
"","Łuniewo Wielkie","drohiczyński/podlaskie","","","",""
"","Biechowo","pyzdrski/kaliskie","Biechowo","Biechowo","wieś","s"
"","Jeziorki","warszawski/mazowieckie","Warszawa-Jeziorki","","wieś","s"
"","Łady-Gramnice","warszawski/mazowieckie","Łady","","wieś","s"
"","Zgorzała","warszawski/mazowieckie","","","wieś","s"
"","Opacz Wielka","warszawski/mazowieckie","Warszawa-Opacz Wielka","","wieś","s"
"","Opacz Mała","warszawski/mazowieckie","","","wieś","s"
"","Falęta Małe","warszawski/mazowieckie","Falenty","","wieś","d"
"","Kalinowo","wiski/mazowieckie","","","wieś","k"
"","Jeziorko","wiski/mazowieckie","","","wieś","s"
"","Jurków","wiślicki/sandomierskie","","","wieś","s"
"","Żórawniki","wiślicki/sandomierskie","","","wieś","s"
"","Klukowo","drohiczyński/podlaskie","","","",""
"","Mieczki","warszawski/mazowieckie","Niecki","","wieś","s"
"","Kalisze-Książki","warszawski/mazowieckie","Czechowice - część","","wieś","s"
"","Lipnik","wieluński/sieradzkie","","","wieś","s"
"","Mlęcin","warszawski/mazowieckie","","","wieś","s"
"","Kamionka","warszawski/mazowieckie","","","wieś","k"
"","Turek","warszawski/mazowieckie","","","wieś","k"
"","Mlęcianka","warszawski/mazowieckie","Wólka Mlęcka","","wieś","s"
"","Wiśniewo","warszawski/mazowieckie","Wiśniew","","wieś","k"
"","Łaźnia","gąbiński/rawskie","","","wieś","s"
"","Kamion","wyszogrodzki/mazowieckie","","","wieś","k"
"","Gnaty","drohiczyński/podlaskie","","","",""
"","Przecławice","wyszogrodzki/mazowieckie","Przęsławice","","wieś","k"
"","Szczeglin","wiślicki/sandomierskie","","","wieś","ds"
"","Kwasów","wiślicki/sandomierskie","","","wieś","s"
"","Niegosławice","wiślicki/sandomierskie","","","wieś","s"
"","Słupia","wiślicki/sandomierskie","Słupia Wielka","","wieś","s"
"","Pacanów","wiślicki/sandomierskie","","","miasto","s"
"","Karsy Wielkie","wiślicki/sandomierskie","Karsy Duże","","wieś","s"
"","Karsy Małe","wiślicki/sandomierskie","","","wieś","s"
"","Sroczków","wiślicki/sandomierskie","","","wieś","s"
"","Żabiec","wiślicki/sandomierskie","","","wieś","s"
"","Łuniewo Szczubły","drohiczyński/podlaskie","","","",""
"","Milanowo","warszawski/mazowieckie","Warszawa-Wilanów","","wieś","s"
"","Narty*","warszawski/mazowieckie","","","wieś","s"
"","Powsinek","warszawski/mazowieckie","Warszawa-Powsinek","","wieś","s"
"","Zawady","warszawski/mazowieckie","Warszawa-Zawady","","wieś","d"
"","Kępa*","warszawski/mazowieckie","Warszawa Kępa Zawadowska","","wieś","s"
"","Rogów","wiślicki/sandomierskie","","","wieś","s"
"","Wyszogród","wiślicki/sandomierskie","","","wieś","s"
"","Wola Rogowska","wiślicki/sandomierskie","","","wieś","s"
"","Kęsów","wiślicki/sandomierskie","","","wieś","s"
"","Kobiela","wiślicki/sandomierskie","","","wieś","s"
"","Ussa Mała","drohiczyński/podlaskie","","","",""
"","Sadek","wiślicki/sandomierskie","","","wieś","s"
"","Zagajów","wiślicki/sandomierskie","","","wieś","s"
"","Góry","wiślicki/sandomierskie","","","wieś","s"
"","Kołków","wiślicki/sandomierskie","","","folwark","s"
"","Pęczelice","wiślicki/sandomierskie","","","wieś","kd"
"","Skotniki Małe","wiślicki/sandomierskie","","","wieś","s"
"","Skotniki Wielkie","wiślicki/sandomierskie","Skotniki Duże","","wieś","k"
"","Sułkowice","wiślicki/sandomierskie","","","wieś","s"
"","Konary","wiślicki/sandomierskie","","","wieś","s"
"","Żerniki","wiślicki/sandomierskie","Żerniki Górne","","wieś","s"
"","Ussa Wielka","drohiczyński/podlaskie","","","",""
"","Szczaworzysz","wiślicki/sandomierskie","Szczaworyż","","wieś","s"
"","Przelot","warecki/mazowieckie","Przylot","","wieś","d"
"","Ostrów","warecki/mazowieckie","Pólko","","wieś","d"
"","Konary","warecki/mazowieckie","","","wieś","d"
"","Podgórzyce","warecki/mazowieckie","","","wieś","d"
"","Las","warecki/mazowieckie","Leśniki","","wieś","d"
"","Wiślica","wiślicki/sandomierskie","","","miasto","k"
"","Siedlec","wiślicki/sandomierskie","Sielec Rządowy, Sielec Szpitalny","","wieś","dm"
"","Koniecmosty","wiślicki/sandomierskie","","","wieś","k"
"","Kuchary","wiślicki/sandomierskie","","","przedmieście","kd"
"","Malinowo","drohiczyński/podlaskie","","","",""
"","Wawrowice","wiślicki/sandomierskie","","","wieś","ds"
"","Pasczorka","wiślicki/sandomierskie","Pasturka","","wieś","s"
"","Szczepiec","wiślicki/sandomierskie","Szczypiec","","wieś","s"
"","Podłęże","wiślicki/sandomierskie","","","wieś","d"
"","Brzeście","wiślicki/sandomierskie","","","wieś","s"
"","Skowronno","wiślicki/sandomierskie","","","wieś","d"
"","Koporynia","wiślicki/sandomierskie","Kopernia","","wieś","s"
"","Pińczów","wiślicki/sandomierskie","","","miasto","s"
"","Kowale","wiślicki/sandomierskie","Kowala","","wieś","d"
"","Kosowo","zakroczymski/mazowieckie","Kosewo","","wieś","k"
"","Janki","drohiczyński/podlaskie","","","",""
"","Kosówko","zakroczymski/mazowieckie","Kosewko","","wieś","d"
"","Moglno","zakroczymski/mazowieckie","Modlin","","wieś","k"
"","Pomnichowo","zakroczymski/mazowieckie","Pomiechowo","","wieś","d"
"","Szczypierno","zakroczymski/mazowieckie","Szczypiorno","","wieś","s"
"","Wola Żelichowska","wiślicki/sandomierskie","","","wieś","s"
"","Gręboszów","wiślicki/sandomierskie","","","wieś","s"
"","Lubiczko","wiślicki/sandomierskie","","","wieś","s"
"","Karsy","wiślicki/sandomierskie","","","wieś","s"
"","Kozłów","wiślicki/sandomierskie","","","wieś","k"
"","Wola Gręboszowska","wiślicki/sandomierskie","","","wieś","k"
"","Żebry Wielkie","drohiczyński/podlaskie","","","",""
"","Zawierzbie","wiślicki/sandomierskie","","","wieś","k"
"","Rudawa","wiślicki/sandomierskie","","","wieś","s"
"","Nieprowice","wiślicki/sandomierskie","","","wieś","s"
"","Wola Chroberska","wiślicki/sandomierskie","","","wieś","s"
"","Zawarza","wiślicki/sandomierskie","","","wieś","s"
"","Zagórzyce","wiślicki/sandomierskie","","","wieś","s"
"","Kozubów","wiślicki/sandomierskie","","","wieś","s"
"","Mozgawa","wiślicki/sandomierskie","","","wieś","s"
"","Wojsławice","wiślicki/sandomierskie","","","wieś","s"
"","Chroberz","wiślicki/sandomierskie","","","wieś","s"
"","Kuczyn Wielki","drohiczyński/podlaskie","","","",""
"","Wyszemierzyce","warecki/mazowieckie","Wyśmierzyce","","miasto","d"
"","Kożuchowo","warecki/mazowieckie","Kożuchów","","wieś","s"
"","Radlin","warecki/mazowieckie","Redlin","","wieś","s"
"","Wola Kożuchowska","warecki/mazowieckie","","","wieś","s"
"","Krzyżanowice","wiślicki/sandomierskie","","","wieś","d"
"","Leśnica*","wiślicki/sandomierskie","Leszcze","","wieś","d"
"","Książnice","wiślicki/sandomierskie","","","wieś","s"
"","Kuklino","szreński/płockie","Kuklin","","wieś","s"
"","Unieszki Zawadzkie","szreński/płockie","Uniszki Zawadzkie","","wieś","s"
"","Unieszki Gumowskie","szreński/płockie","Uniszki Gumowskie","","wieś","s"
"","Kozarze","drohiczyński/podlaskie","","","",""
"","Osowo","pyzdrski/kaliskie","Osowo","Osowo","wieś","s"
"","Ruda","szreński/płockie","","","młyn","k"
"","Piekiełki","szreński/płockie","Piekiełko","","wieś","s"
"","Skrzyszewo","warszawski/mazowieckie","Skrzeszew","","wieś","d"
"","Wieliszewo","warszawski/mazowieckie","Wieliszew","","wieś","d"
"","Zagroby","warszawski/mazowieckie","","","wieś","s"
"","Kożuszyno","warszawski/mazowieckie","Kałuszyn","","wieś","d"
"","Łaziska","warszawski/mazowieckie","Łajski","","wieś","d"
"","Nieporęt","warszawski/mazowieckie","","","wieś","k"
"","Laski","wieluński/sieradzkie","","","wieś","s"
"","Trzcieńca","wieluński/sieradzkie","Trzcinica","","wieś","s"
"","Kuczyn Gródek","drohiczyński/podlaskie","","","",""
"","Krok","ostrzeszowski/sieradzkie","Pomiany - część","","młyn","s"
"","Wodziczna","wieluński/sieradzkie","","","miasto","s"
"","Łubnice","wieluński/sieradzkie","","","wieś","d"
"","Radostów","wieluński/sieradzkie","","","wieś","d"
"","Słupia","urzędowski/lubelskie","Słupie","","wieś","s"
"","Wierzchowiska","urzędowski/lubelskie","","","wieś","s"
"","Wola Polichnińska","urzędowski/lubelskie","","","wieś","s"
"","Wolica","urzędowski/lubelskie","","","wieś","s"
"","Lute","urzędowski/lubelskie","Luta","","wieś","s"
"","Polichna","urzędowski/lubelskie","","","wieś","s"
"","Lubowicz","drohiczyński/podlaskie","","","",""
"","Kruszyna","wieluński/sieradzkie","","","wieś","s"
"","Zawady","tarczyński/mazowieckie","Rosołów","","wieś","s"
"","Wola Uliniecka","tarczyński/mazowieckie","Jurki","","wieś","s"
"","Pniowy","tarczyński/mazowieckie","Pniewy","","wieś","s"
"","Osieczek","tarczyński/mazowieckie","","","wieś","s"
"","Kunie","tarczyński/mazowieckie","Konie","","wieś","s"
"","Jeziora","tarczyński/mazowieckie","","","wieś","s"
"","Kuźnica Skakawska","wieluński/sieradzkie","","","kuźnica","s"
"","Łagiewniki","wieluński/sieradzkie","","","wieś","s"
"","Michałów","wiślicki/sandomierskie","","","wieś","s"
"","Ciechanowiec","drohiczyński/podlaskie","","","miasto","s"
"","Zagajówek","wiślicki/sandomierskie","","","wieś","s"
"","Miedzechowo","warecki/mazowieckie","Miedzechów","","wieś","s"
"","Łążek","urzędowski/lubelskie","Łążek Zaklikowski","","wieś","s"
"","Ruda Zdziechowice","urzędowski/lubelskie","ironworks","","wieś","s"
"","Zdziechowice","urzędowski/lubelskie","","","wieś","s"
"","Sanna","urzędowski/lubelskie","Zaklików","","wieś","s"
"","Sulewo-Zabiele*","wąsoski/mazowieckie","","","wieś","s"
"","Sienice","wąsoski/mazowieckie","Sienickie","","wieś","s"
"","Lipniki-Domastochy","wąsoski/mazowieckie","Lipińskie","","wieś","s"
"","Naramice","wieluński/sieradzkie","","","wieś","s"
"","Tworkowicze","drohiczyński/podlaskie","","","",""
"","Łyseskornie","wieluński/sieradzkie","Łyskornie","","wieś","s"
"","Młyńsko","wieluński/sieradzkie","Młynisko","","wieś","s"
"","Marzęcin","wiślicki/sandomierskie","","","wieś","s"
"","Bogucice","wiślicki/sandomierskie","","","wieś","k"
"","Grochowiska","wiślicki/sandomierskie","","","folwark","k"
"","Mierzyce","wieluński/sieradzkie","","","wieś","ds"
"","Toporów","wieluński/sieradzkie","","","miasto","ds"
"","Przewóz","wieluński/sieradzkie","Przywóz","","wieś","ds"
"","Mileszyn","wieluński/sieradzkie","Mieleszyn","","wieś","d"
"","Mochty","zakroczymski/mazowieckie","","","wieś","s"
"","Wojtkowice Dady","drohiczyński/podlaskie","","","",""
"","Trębki Małe","zakroczymski/mazowieckie","Trębki - część","","wieś","s"
"","Smoszewo","zakroczymski/mazowieckie","","","wieś","s"
"","Czaple","wąsoski/mazowieckie","","","wieś","s"
"","Zakrzewo","wąsoski/mazowieckie","","","wieś","s"
"","Wiązownica","wąsoski/mazowieckie","","","wieś","s"
"","Szymany-Mały Ławsk","wąsoski/mazowieckie","Szymany","","wieś","s"
"","Jaki","wąsoski/mazowieckie","","","wieś","s"
"","Nieciki-Kamionystok","wąsoski/mazowieckie","Nieciki","","wieś","s"
"","Daćbogi*","wąsoski/mazowieckie","","","wieś","s"
"","Nocpalsk Mały","sąchocki/mazowieckie","Nacpolsk - część","","wieś","s"
"","Wojtkowice Starawieś","drohiczyński/podlaskie","","","",""
"","Srebrna","wyszogrodzki/mazowieckie","","","wieś","s"
"","Łazęki","wyszogrodzki/mazowieckie","","","wieś","s"
"","Sobanice I","wyszogrodzki/mazowieckie","Sobanice - część","","wieś","s"
"","Żukowo Małe","wyszogrodzki/mazowieckie","Żukówek","","wieś","s"
"","Słomino","wyszogrodzki/mazowieckie","Słomin","","wieś","s"
"","Skarszyno","wyszogrodzki/mazowieckie","Skarszyn","","wieś","s"
"","Sobanice II","wyszogrodzki/mazowieckie","Sobanice - część","","wieś","s"
"","Sosnkowo Górne","wyszogrodzki/mazowieckie","Sosenkowo - część","","wieś","s"
"","Sosnkowo I","wyszogrodzki/mazowieckie","Sosenkowo - część","","wieś","s"
"","Sosnkowo II","wyszogrodzki/mazowieckie","Sosenkowo - część","","wieś","s"
"","Wojtkowice Glinna","drohiczyński/podlaskie","","","",""
"","Żukowo Wielkie","wyszogrodzki/mazowieckie","Żukowo","","wieś","d"
"","Ożarów","wieluński/sieradzkie","","","wieś","s"
"","Przedmoście","wieluński/sieradzkie","","","wieś","s"
"","Łukawa","warecki/mazowieckie","","","wieś","s"
"","Bobrowniki","warecki/mazowieckie","","","wieś","s"
"","Głowaczewo","warecki/mazowieckie","Głowaczów","","miasto","s"
"","Lipa","warecki/mazowieckie","","","wieś","s"
"","Grabna Wola","warecki/mazowieckie","Grabnowola","","wieś","s"
"","Paprotna","warecki/mazowieckie","Paprotnia","","wieś","s"
"","Studzianki","warecki/mazowieckie","","","wieś","s"
"","Kobyla","drohiczyński/podlaskie","","","",""
"","Chodkowo","warecki/mazowieckie","Chodków","","wieś","s"
"","Leżenice","warecki/mazowieckie","","","wieś","s"
"","Nowa Wola","warecki/mazowieckie","","","wieś","s"
"","Sokolniki","wieluński/sieradzkie","","","wieś","k"
"","Ochędzin","wieluński/sieradzkie","Ochędzyn","","wieś","d"
"","Wielka Wola","warszawski/mazowieckie","Warszawa-Wola","","wieś","k"
"","Odolany","warszawski/mazowieckie","Warszawa-Odolany","","wieś","d"
"","Rakowo-Boginie","wiski/mazowieckie","","","wieś","s"
"","Truszki","wiski/mazowieckie","","","wieś","s"
"","Krzewo","wiski/mazowieckie","","","wieś","s"
"","Głody","drohiczyński/podlaskie","","","",""
"","Drozdowo","wiski/mazowieckie","","","wieś","s"
"","Niewodowo","wiski/mazowieckie","","","wieś","s"
"","Rakowo-Czachy","wiski/mazowieckie","","","wieś","s"
"","Wyrzyki","wiski/mazowieckie","","","wieś","s"
"","Żelechy","wiski/mazowieckie","","","wieś","s"
"","Kossaki-Ponikłystok","wiski/mazowieckie","Kossaki","","wieś","s"
"","Olszyny-Słubica","wiski/mazowieckie","Olszyny","","wieś","s"
"","Waliknowy","wieluński/sieradzkie","Walichnowy","","wieś","s"
"","Pichlice","wieluński/sieradzkie","","","wieś","k"
"","Słupia","wieluński/sieradzkie","","","wieś","s"
"","Pełch","drohiczyński/podlaskie","","","",""
"","Skotniki","pyzdrski/kaliskie","Skotniki","Skotniki","wieś","s"
"","Opatowiec","wieluński/sieradzkie","","","wieś","s"
"","Trzebień","wieluński/sieradzkie","","","wieś","s"
"","Opatów","wieluński/sieradzkie","","","wieś","s"
"","Orzechów","urzędowski/lubelskie","","","wieś","s"
"","Pniów","urzędowski/lubelskie","","","wieś","s"
"","Wolica","urzędowski/lubelskie","","","wieś","s"
"","Żabno","urzędowski/lubelskie","","","wieś","d"
"","Pilchowo","wyszogrodzki/mazowieckie","","","wieś","s"
"","Osiek","wyszogrodzki/mazowieckie","","","wieś","s"
"","Pilchówko","wyszogrodzki/mazowieckie","Pilichówko","","wieś","s"
"","Leśniki","drohiczyński/podlaskie","","","",""
"","Ożarowo","warszawski/mazowieckie","Ożarów - część","","wieś","k"
"","Rudki","wiślicki/sandomierskie","","","wieś","k"
"","Potok","wiślicki/sandomierskie","Potok Rządowy","","wieś","k"
