"מַפָּה","שם המאה ה-16","מחוז/מחוז","שם מודרני","שם במילון ההיסטורי והגיאוגרפי","אופי היישוב","סוג הבעלות"
"","Żebry-Wybranowo","łomżyński/mazowieckie","Żebry","","wieś","s"
"","Wierzbowo","łomżyński/mazowieckie","","","wieś","s"
"","Wszerzecz","łomżyński/mazowieckie","","","wieś","d"
"","Szczepankowo","łomżyński/mazowieckie","","","wieś","d"
"","Korytki Borowe","łomżyński/mazowieckie","","","wieś","s"
"","Chojny Stare","łomżyński/mazowieckie","","","wieś","s"
"","Gałązki-Dłużniewo","łomżyński/mazowieckie","Gałązki","","wieś","s"
"","Grzymały","łomżyński/mazowieckie","Grzymały Szczepankowskie","","wieś","s"
"","Dłużniewo","łomżyński/mazowieckie","","","wieś","s"
"","Jaroszewice Małe","koniński/kaliskie","Jaroszewice Grodzieckie","Jaroszewice Małe","wieś","s"
"","Boguszyce","łomżyński/mazowieckie","","","wieś","s"
"","Konopki Stare","łomżyński/mazowieckie","","","wieś","s"
"","Jarnułty","łomżyński/mazowieckie","Jarnuty","","wieś","s"
"","Chojny-Naroszczki","łomżyński/mazowieckie","Chojny-Naruszczki","","wieś","s"
"","Sulki","łomżyński/mazowieckie","","","wieś","s"
"","Mikany-Wola*","łomżyński/mazowieckie","","","wieś","s"
"","Wólka*","łomżyński/mazowieckie","Leopoldowo","","wieś","d"
"","Chojny-Śmisze","łomżyński/mazowieckie","Chojny Młode","","wieś","s"
"","Sierzputy Młode","łomżyński/mazowieckie","","","wieś","s"
"","Czaplice Wielkie","łomżyński/mazowieckie","Czaplice","","wieś","s"
"","Czyżewo","koniński/kaliskie","Czyżew","Czyżew","wieś","s"
"","Barcin","kcyński/kaliskie","Barcin","Barcin","miasto","s"
"","Boguszyce-Warchoły","łomżyński/mazowieckie","Andrzejki","","wieś","s"
"","Boguszyce-Kisiołki","łomżyński/mazowieckie","Kisiołki","","wieś","s"
"","Dębowo","łomżyński/mazowieckie","","","wieś","d"
"","Czaple","liwski/mazowieckie","","","wieś","s"
"","Żabokliki","liwski/mazowieckie","","","wieś","s"
"","Krypy-Mścichy","liwski/mazowieckie","Krypy","","wieś","s"
"","Strupiechowo","liwski/mazowieckie","Strupiechów","","wieś","s"
"","Orzechowo","liwski/mazowieckie","Orzechów Stary","","wieś","s"
"","Wąsosze","liwski/mazowieckie","Wąsosze-Filipy","","wieś","s"
"","Wyczółki","liwski/mazowieckie","","","wieś","s"
"","Piskoszewo","koniński/kaliskie","Dąbroszyn-część","Piskorzew","wieś","s"
"","Borze+","liwski/mazowieckie","","","wieś","s"
"","Czerwonka","liwski/mazowieckie","","","wieś","k"
"","Osówno Stare","liwski/mazowieckie","","","wieś","s"
"","Skarzyno","liwski/mazowieckie","Skarzyn","","wieś","s"
"","Wyrzyki","liwski/mazowieckie","","","wieś","s"
"","Sulki-Ostasze","liwski/mazowieckie","Sulki","","wieś","s"
"","Roguszyno-Wypychy","liwski/mazowieckie","","","wieś","s"
"","Koszewnica","liwski/mazowieckie","","","wieś","s"
"","Ogrodzona","łęczycki/łęczyckie","","","wieś","s"
"","Rzętkowo","łęczycki/łęczyckie","Rzędków","","wieś","s"
"","Buczyno","ostrołęcki/mazowieckie","Buczyn","","wieś","s"
"","Jarochowo Wielkie","łęczycki/łęczyckie","Jarochów","","wieś","s"
"","Jarochowo Małe","łęczycki/łęczyckie","Jarochówek","","wieś","s"
"","Walewo","łęczycki/łęczyckie","Walew","","wieś","s"
"","Żelazna","łęczycki/łęczyckie","Żelazna Stara","","wieś","s"
"","Daszyna","łęczycki/łęczyckie","","","wieś","s"
"","Ossendowice","łęczycki/łęczyckie","Osędowice","","wieś","s"
"","Kęcerzyno+","łęczycki/łęczyckie","","","wieś","s"
"","Jamnice","łęczycki/łęczyckie","Janice","","wieś","s"
"","Jabłonna","łęczycki/łęczyckie","","","wieś","s"
"","Koryta","łęczycki/łęczyckie","","","wieś","s"
"","Mierzejewo-Janki I","ostrołęcki/mazowieckie","Janki Stare","","wieś","s"
"","Goszczyno","łęczycki/łęczyckie","Goszczynno","","wieś","s"
"","Goszczyno-Bazylia","łęczycki/łęczyckie","Siedlec-Bazylia","","wieś","s"
"","Siedlewo","łęczycki/łęczyckie","Siedlew-Karsy","","wieś","s"
"","Słaboszewo","łęczycki/łęczyckie","Sławoszew","","wieś","s"
"","Słaboszewo Małe+","łęczycki/łęczyckie","","","wieś","s"
"","Miroszewice","łęczycki/łęczyckie","","","wieś","s"
"","Siedlewo-Drzykozy","łęczycki/łęczyckie","Drzykozy","","wieś","s"
"","Gąsiorowo","łęczycki/łęczyckie","","","wieś","s"
"","Zieleniewo","łęczycki/łęczyckie","Zieleniew","","wieś","s"
"","Odechowo","łęczycki/łęczyckie","Odechów","","wieś","s"
"","Mierzejewo-Wojsze","ostrołęcki/mazowieckie","Wojsze","","wieś","s"
"","Potrzaskowo","łęczycki/łęczyckie","Potrzasków","","wieś","s"
"","Skrzynki-Bangierze","łęczycki/łęczyckie","Skrzynki","","wieś","s"
"","Jackowo","łęczycki/łęczyckie","Jacków","","wieś","s"
"","Szłapy","łęczycki/łęczyckie","","","wieś","s"
"","Borucice","łęczycki/łęczyckie","","","wieś","s"
"","Sławęcino","łęczycki/łęczyckie","Sławęcin","","wieś","s"
"","Zagrobki","łęczycki/łęczyckie","Zagrobki","","wieś","s"
"","Żabokrzeki","łęczycki/łęczyckie","","","wieś","s"
"","Upale","łęczycki/łęczyckie","","","wieś","s"
"","Burkaty","ciechanowski/mazowieckie","","","wieś","s"
"","Mierzejewo-Wielgouchy","ostrołęcki/mazowieckie","Wielgouchy","","wieś","s"
"","Mężenino","ciechanowski/mazowieckie","Mężenino-Kłoski","","wieś","s"
"","Węglewice","ciechanowski/mazowieckie","Mężenino-Węgłowice","","wieś","s"
"","Ciemniewo Wielkie","ciechanowski/mazowieckie","Ciemniewo","","wieś","s"
"","Olszowa Struga","ciechanowski/mazowieckie","Olszewka","","wieś","s"
"","Murawa Kmieca","ciechanowski/mazowieckie","Morawka","","wieś","s"
"","Murawy-Wicherki","ciechanowski/mazowieckie","Morawy-Wicherki","","wieś","s"
"","Murawy-Laski","ciechanowski/mazowieckie","Morawy-Laski","","wieś","s"
"","Nasierowo Nadolne","ciechanowski/mazowieckie","Nasierowo Dolne","","wieś","s"
"","Murawy-Bachy+","ciechanowski/mazowieckie","","","wieś","s"
"","Murawy I","ciechanowski/mazowieckie","Morawy-Kafasy, Morawy-Kopcie","","wieś","s"
"","Mierzejewo-Wiączyki","ostrołęcki/mazowieckie","Janczyki","","wieś","s"
"","Murawy II","ciechanowski/mazowieckie","Morawy-Kafasy, Morawy-Kopcie","","wieś","s"
"","Nasierowo Górne","ciechanowski/mazowieckie","","","wieś","s"
"","Nasierowo-Dziurawiniec","ciechanowski/mazowieckie","Nasierowo-Dziurawieniec","","wieś","s"
"","Ciemniewko Kościelne","ciechanowski/mazowieckie","Ciemniewko","","wieś","s"
"","Wilkowyja","gostyniński/rawskie","","","wieś","s"
"","Jemielino","gostyniński/rawskie","Imielno","","wieś","s"
"","Rdułtowo","gostyniński/rawskie","Rdutów","","wieś","s"
"","Oksza","chęciński/sandomierskie","Oksa","","miasto","s"
"","Ząbrzec","chęciński/sandomierskie","Rząbiec","","wieś","s"
"","Nieznanowice","chęciński/sandomierskie","","","wieś","s"
"","Mierzejewo-Tomasze","ostrołęcki/mazowieckie","Tomasze","","wieś","s"
"","Konieczno","chęciński/sandomierskie","","","wieś","d"
"","Roginice","chęciński/sandomierskie","Rogienice","","wieś","s"
"","Boczkowice Małe","chęciński/sandomierskie","Boczkowice - część","","wieś","s"
"","Boczkowice Większe","chęciński/sandomierskie","Boczkowice","","wieś","s"
"","Rzeszów","chęciński/sandomierskie","Rzeszówek","","wieś","s"
"","Dąbie","chęciński/sandomierskie","","","wieś","s"
"","Dołowatka","chęciński/sandomierskie","","","wieś","s"
"","Przybradów","chęciński/sandomierskie","Przygradów","","wieś","s"
"","Ogarka","chęciński/sandomierskie","","","wieś","s"
"","Błogoszów","chęciński/sandomierskie","","","wieś","s"
"","Grodzisko","ostrołęcki/mazowieckie","Grodzisk","","wieś","s"
"","Lipno","chęciński/sandomierskie","","","wieś","s"
"","Zalesie","chęciński/sandomierskie","","","wieś","s"
"","Powęzów","chęciński/sandomierskie","Pawęzów","","wieś","s"
"","Łopiennik","lubelski/lubelskie","","","wieś","s"
"","Borów","lubelski/lubelskie","","","wieś","s"
"","Borzechów","lubelski/lubelskie","","","wieś","s"
"","Kępa","lubelski/lubelskie","","","wieś","s"
"","Radlin","lubelski/lubelskie","","","wieś","s"
"","Ratoszyn","lubelski/lubelskie","","","wieś","s"
"","Wola Radlińska","lubelski/lubelskie","Kępska Wólka","","wieś","s"
"","Zaorze","ostrołęcki/mazowieckie","","","wieś","s"
"","Borzęcin","lubelski/lubelskie","","","wieś","s"
"","Chmiel","lubelski/lubelskie","","","wieś","k"
"","Krynki","lubelski/lubelskie","","","wieś","s"
