id_miejscowosci,nazwa_wspolczesna,nazwa_16w,charakter_osady,rodzaj_wlasnosci,powiat_p,woj_p,wielkosc_karto,lat,lon
Kulikowka_blk_pdl,Kulikówka,Kulikówka,wieś,ks,bielski,podlaskie,duża,53.2580770489865003,23.0239932209112226
Krasnodeby_Sypytki_drh_pdl,Krasnodęby-Sypytki,Krasnodęby-Sypytki,wieś,s,drohicki,podlaskie,mała,52.3777728103791702,22.298453513042201
Bogdanow_ptr_srd,,Bogdanów,wieś,s,piotrkowski,sieradzkie,mała,51.3487857520000475,19.5108915400000065
Bogdany_Chmielewo_prz_maz,,Bogdany-Chmielewo,wieś,s,przasnyski,mazowieckie,mała,53.2470263930000343,20.8476264550000998
Mietus_sdc_krk,Miętustwo,Miętus,wieś,k,sądecki,krakowskie,mała,49.396670257000018,19.8771226050000216
Popielzyno_Male_zkr_maz,Popielżyn Górny,Popielżyno Małe,wieś,s,zakroczymski,mazowieckie,mała,52.592838561000022,20.6021680960000317
Wola_Brzoska_rdm_snd,Wólka Brzóska,Wola Brzoska,wieś,k,radomski,sandomierskie,mała,51.5798723810000439,21.31828307500016
Boglewice_wrk_maz,,Boglewice,wieś,s,warecki,mazowieckie,mała,51.80690736800004,20.9996336100000605
Boiska_urz_lub,,Boiska,wieś,s,urzędowski,lubelskie,duża,50.9994914810001418,21.9417053150009487
Boguslawicze_knn_kls,Bogusławice,Bogusławice,wieś,s,koniński,kaliskie,mała,52.0097930226134295,18.2407071599475437
Wezorow_prs_krk,Wężerów,Węzorów,wieś,s,proszowicki,krakowskie,mała,50.2831930140000836,20.0566187139999847
Wykowo_I_kol_maz,Wykowo,Wykowo I,wieś,s,kolneński,mazowieckie,mała,53.4756150870001363,21.9159082799997478
Biale_Jezioro_ksc_pzn,Stary Białcz,Białcz,wieś,s,kościański,poznańskie,mała,52.0720565820093668,16.5413952151855739
Chorzecin_brz_lcz,,Chorzęcin,wieś,ds,brzeziński,łęczyckie,mała,51.519410338000057,19.8821406409999994
Chotomow_wrs_maz,,Chotomów,wieś,d,warszawski,mazowieckie,mała,52.4103340000000415,20.8892298920000954
Chotynia_stz_snd,,Chotynia,wieś,s,stężycki,sandomierskie,mała,51.7979986640000831,21.6919242710003388
Chotyze_rdm_snd,,Chotyze,wieś,s,radomski,sandomierskie,mała,51.2156580580000451,21.5580053030003462
Chronin_gar_maz,Chromin,Chronin,wieś,d,garwoliński,mazowieckie,mała,51.9596376870000896,21.8068266960004102
Wymyslow_plz_snd,Wymysł,Wymysłów,wieś,s,pilzneński,sandomierskie,mała,50.1067288670000721,20.9840797730001647
Pruszkowo_wrs_maz,Pruszków,Pruszkowo,wieś,s,warszawski,mazowieckie,mała,52.1623593570000637,20.8100235090000716
Pierwoszewo_pzn_pzn,Pierwoszewo,Pierwoszewo,wieś,s,poznański,poznańskie,mała,52.7070766732316969,16.3222805239268212
Pienki_Borowe_wiz_maz,Pieńki Borowe,Pieńki Borowe,wieś,s,wiski,mazowieckie,mała,53.2712191140002318,22.2140329799995015
Chociszewo_lcz_lcz,Chociszew,Chociszewo,wieś,s,łęczycki,łęczyckie,mała,51.9228874850000324,19.2551379150000379
Chroscino_wsg_maz,Chrościn,Chrościno,wieś,d,wyszogrodzki,mazowieckie,mała,52.551083824000024,20.2093606490000788
Boguszowa_krw_sdc_krk,Bogusza,Boguszowa,wieś,k,sądecki,krakowskie,mała,49.5667695480000887,20.8856447780001488
Miroslawice_lcz_lcz,,Mirosławice,wieś,d,łęczycki,łęczyckie,mała,51.7558403360000483,19.2464586150000585
Bodzecin_plz_snd,Borzęcin,Bodzęcin,wieś,d,pilzneński,sandomierskie,duża,50.063852122000057,20.7063870760000803
Lipno_ksc_pzn,Lipno,Lipno,wieś,s,kościański,poznańskie,mała,51.9173433435527087,16.5613580223644803
Mlodawin_Niesmierow_szd_srd,Młodawin Górny,Młodawin-Niesmierów,wieś,s,szadkowski,sieradzkie,mała,51.5541842610000458,18.9699702160000356
Miroslaw_plc_plc,,Mirosław,wieś,s,płocki,płockie,duża,52.5344842263661675,19.8090439333309831
Bogusze_blk_pdl,Bogusze,Bogusze,wieś,s,bielski,podlaskie,mała,52.8262212253603494,22.9284737085181334
Bogusze_was_maz,,Bogusze,wieś,s,wąsoski,mazowieckie,mała,53.6841954650003146,22.452705483998642
Boguszkowo_wrk_maz,Boguszków,Boguszkowo,wieś,s,warecki,mazowieckie,mała,51.79780286000004,21.2673804450001462
Kaczyno_Wypychy_osl_maz,Kaczyny-Wypychy,Kaczyno-Wypychy,wieś,s,ostrołęcki,mazowieckie,mała,53.0623926330000444,21.6118329999999474
Boguszyce_lcz_lcz,,Boguszyce,wieś,s,łęczycki,łęczyckie,mała,52.0321177290000136,19.4386084670000336
Damaszka_tcz_pmr,Damaszka,Domaszka,wieś,s,tczewski,pomorskie,mała,54.0882900188935096,18.591893656848967
Radziejewice_msz_raw,Radziejowice,Radziejewice,wieś,s,mszczonowski,rawskie,mała,52.005566824000077,20.5533212650000792
Piotrkowice_kcn_kls,Piotrkowice,Piotrkowice,wieś,s,kcyński,kaliskie,mała,52.8635235595819566,17.5145683520404738
Radyczyno_srd_srd,Radyczyny,Radyczyno,wieś,s,sieradzki,sieradzkie,mała,52.0183813720000856,18.7051035610000156
Chrostowo_obj_pzn_pzn,Chrustowo,Chrostowo,wieś,d,poznański,poznańskie,mała,52.6337281854092183,16.7173135779269799
Chroszczobrod_swr_swr,Chruszczobród,Chroszczobród,wieś,s,księstwo siewierskie,księstwo siewierskie,mała,50.415506891000085,19.315166582000046
Chroszczyna_Wielka_prs_krk,Chruszczyna Wielka,Chroszczyna Wielka,wieś,s,proszowicki,krakowskie,mała,50.2358618560000068,20.4813496170000136
Chrosciechowo_wrk_maz,Chruściechów,Chrościechowo,wieś,s,warecki,mazowieckie,mała,51.5796370480000519,20.9680232280000673
Lubascz_nkl_kls,Lubarszcz,Lubaszcz,wieś,k,nakielski,kaliskie,mała,53.1447609992976524,17.5289517052246246
Kretki_Wielkie_rpn_dbr,Kretki Duże,Kretki Wielkie,wieś,s,rypiński,ziemia dobrzyńska,duża,53.1773553263504652,19.4401547841756113
Klodno_wie_rdm_snd,Kludno,Kłodno,wieś,s,radomski,sandomierskie,mała,51.3719122040000755,20.8180070530000201
Wuithostwo_gzn_kls,Gniezno – część,Wójtostwo,przedmieście,s,gnieźnieński,kaliskie,duże,52.537215000852477,17.6056708630341063
Gniewan_gar_maz,Wymyśle,Gniewań,wieś,k,garwoliński,mazowieckie,mała,52.0273425610001468,21.7940682810003139
Sady_dbr_dbr,,Sady,,s,płocki,płockie,,,
Piorunowo_knn_kls,Piorunów,Piorunowo,wieś,s,koniński,kaliskie,mała,52.135644256937276,18.4325835221711749
Plawno_rds_srd,,Pławno,miasto,s,radomszczański,sieradzkie,miasteczko,50.9784297820000489,19.4577854080000954
Rembowo_prz_maz,Zembrzus-Rembowo,Rembowo,wieś,s,przasnyski,mazowieckie,mała,53.2831337290000278,20.6258348740000557
Wierzbie_inw_inw,Inowrocław - część,Wierzbie,wieś,m,inowrocławski,inowrocławskie,,,
Trzcionka_ksw_bkj,Trzcionek,Trzcionek,osada młyńska,s,kruszwicki,brzeskie kujawskie,,52.5917352111340222,18.0381107480180987
Wargawa_Budki_lcz_lcz,Wargawka - część,Wargawa-Budki,wieś,s,łęczycki,łęczyckie,mała,52.1563648080000348,19.2622437180000645
Rogow_lub_lub,,Rogów,wieś,k,lubelski,lubelskie,mała,51.2584678818395076,21.9545848026270853
Chrzanowo_Godawy_mak_maz,,Chrzanowo-Godawy,wieś,s,makowski,mazowieckie,mała,52.8370217090000551,21.0638053420000375
Chrzanow_wsl_snd,,Chrzanów,wieś,s,wiślicki,sandomierskie,mała,50.4009498580000681,20.9966753980001357
Rogow_srd_srd,,Rogów,wieś,s,sieradzki,sieradzkie,mała,51.982953189000014,18.5630179340000439
Przima_knn_kls,Przyjma,Przejma,wieś,s,koniński,kaliskie,mała,52.2693512968946337,18.0678849612512984
Dabrowa_1_mlb_mlb,Dąbrowa,Dąbrowa,wieś,s,malborski,malborskie,mała,54.1875502918334035,19.4753696083732883
Podanin_pzn_pzn,Podanin,Podanino,wieś,k,poznański,poznańskie,mała,52.952064195630868,16.9481546053744658
Wolka_kwl_bkj,Zawada-Piaski,Wołodrza,wieś,k,kowalski,brzeskie kujawskie,mała,52.4781725266286543,19.29113596658134
