id,name,type,relig_type,relig,source,dist,lp_w,lp_o,cdnts
11997,Lisiatycze,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 220-221; Kołbuk 1998, s. 267 (Lisiatycze Górne).",rus,6,4492,"[23.966173770159173, 49.335107038437]"
11998,Pukienicze,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 299; Kołbuk 1998, s. 267.",rus,6,5190,"[23.93544904456712, 49.326264209068995]"
12172,Sołodkowce,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 368.",pod,1,10452,"[26.93831140412101, 49.082329405674216]"
12500,Michałpol,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 369.",pod,1,10436,"[27.13394741736039, 49.23806727047753]"
12502,Torczyn,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 369.",pod,1,10458,"[27.917113130267865, 49.694089087318105]"
12504,Korżowce,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 369.",pod,1,10470,"[27.24345527082079, 49.290561872741705]"
12545,Lubar,miasto,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 372 (kij), 504; Chachaj, Rozwój sieci świątyń katolickich, s. 25-26 (patronat miecznika koronnego Lubomirskiego).",woł,1,18793,"[27.739472874590717, 49.9106566535155]"
12841,Libochora,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 218; Kołbuk 1998, s. 264.",rus,6,3730,"[23.513253884070252, 48.89638232375307]"
12842,Zadzielsko,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 405; Kołbuk 1998, s. 269.",rus,6,4381,"[23.148764038144748, 48.985797929129774]"
12844,Wołosianka,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 394; Kołbuk 1998, s. 264.",rus,6,3821,"[23.439370807606622, 48.776204468572644]"
12845,Pławie,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 281; Kołbuk 1998, s. 264.",rus,6,3824,"[23.32731480701449, 48.89720265023465]"
12846,Tarnawka,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 359; Kołbuk 1998, s. 264.",rus,6,5997,"[23.38272711481187, 48.81886145460743]"
12847,Hnyła,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 155; Kołbuk 1998, s. 268.",rus,6,3573,"[22.936965884236827, 48.94806290288375]"
12848,Klimiec,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 186; Kołbuk 1998, s. 269.",rus,6,3676,"[23.193709576611525, 48.829525701565785]"
13439,Tolkmicko,miasto,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 411.",malb,1,14496,"[19.535580626209423, 54.31720564599766]"
12849,Komarniki,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 190; Kołbuk 1998, s. 269 (Komarniki Trościaniec, Mikołaj Bp).",rus,6,5662,"[23.05948865326019, 48.99482152222572]"
12853,Wyżłów,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 401; Kołbuk 1998, s. 269.",rus,6,4375,"[23.23619234598283, 48.7757943048822]"
12854,Wysocko Wyżne,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 400; Kołbuk 1998, s. 269.",rus,6,4372,"[23.064414191451306, 48.932886859827136]"
12855,Krywe,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 206; Kołbuk 1998, s. 269.",rus,6,3732,"[23.216490191419837, 48.95913731263323]"
