table.x,index,year,value,potential,villages_value,near_value,name,voivodeship,community,community_code,table_abbr,table.y,geometry.y,geometry
0100,maz_jblnk,1734,100,100,0,0,jablonka,maz,ciechanowiec,cchnwc,ext,,|,2489112.37599319|6974827.5879437
0100,maz_jblnk,1735,100,100,0,0,jablonka,maz,ciechanowiec,cchnwc,ext,,|,2489112.37599319|6974827.5879437
0100,maz_jblnk,1736,100,100,0,0,jablonka,maz,ciechanowiec,cchnwc,ext,,|,2489112.37599319|6974827.5879437
0100,maz_jblnk,1737,100,100,0,0,jablonka,maz,ciechanowiec,cchnwc,ext,,|,2489112.37599319|6974827.5879437
0100,maz_grdzsk,1739,80,80,0,0,grodzisk,maz,ciechanowiec,cchnwc,ext,,|,1823544.96089068|6840637.56083326
0100,lbl_jzfw,1724,400,400,0,0,jozefow,lbl,jezefow,jzfw,ext,,|,2565773.54316302|6530620.18388892
0100,lbl_jzfw,1725,248,400,0,0,jozefow,lbl,jezefow,jzfw,ext,,|,2565773.54316302|6530620.18388892
0100,lbl_jzfw,1729,400,400,0,0,jozefow,lbl,jezefow,jzfw,ext,,|,2565773.54316302|6530620.18388892
0100,lbl_jzfw,1731,400,400,0,0,jozefow,lbl,jezefow,jzfw,ext,,|,2565773.54316302|6530620.18388892
0100,lbl_jzfw,1732,400,400,0,0,jozefow,lbl,jezefow,jzfw,ext,,|,2565773.54316302|6530620.18388892
0100,lbl_jzfw,1733,400,400,0,0,jozefow,lbl,jezefow,jzfw,ext,,|,2565773.54316302|6530620.18388892
0100,lbl_jzfw,1734,400,400,0,0,jozefow,lbl,jezefow,jzfw,ext,,|,2565773.54316302|6530620.18388892
0100,lbl_jzfw,1735,400,400,0,0,jozefow,lbl,jezefow,jzfw,ext,,|,2565773.54316302|6530620.18388892
0100,lbl_jzfw,1736,400,400,0,0,jozefow,lbl,jezefow,jzfw,ext,,|,2565773.54316302|6530620.18388892
0100,lbl_jzfw,1737,400,400,0,0,jozefow,lbl,jezefow,jzfw,ext,,|,2565773.54316302|6530620.18388892
0100,lbl_jzfw,1738,400,400,0,0,jozefow,lbl,jezefow,jzfw,ext,,|,2565773.54316302|6530620.18388892
0100,lbl_jzfw,1739,400,400,0,0,jozefow,lbl,jezefow,jzfw,ext,,|,2565773.54316302|6530620.18388892
0100,lbl_jzfw,1742,400,400,0,0,jozefow,lbl,jezefow,jzfw,ext,,|,2565773.54316302|6530620.18388892
0100,lbl_jzfw,1748,400,400,0,0,jozefow,lbl,jezefow,jzfw,ext,,|,2565773.54316302|6530620.18388892
0100,lbl_jzfw,1749,400,400,0,0,jozefow,lbl,jezefow,jzfw,ext,,|,2565773.54316302|6530620.18388892
0100,lbl_jzfw,1757,400,400,0,0,jozefow,lbl,jezefow,jzfw,ext,,|,2565773.54316302|6530620.18388892
0100,krk_kzmrz,1717,3174,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1718,3172,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1719,2462,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1720,2904,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1721,4200,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1722,2285,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1723,3992,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1724,2441,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
0100,krk_kzmrz,1725,5262,2375,0,0,kazimierz,krk,krakow,krkw,ext,,|,2220452.83934886|6455220.57903561
