id,deanery_id,deanery,adeacon_id,adeaconry,diocese_id,diocese,metrop_id,metropoly
326,9010,Lida,8362,Białoruś (Obolce Stare),8347,Wilno,8341,Gniezno
327,2962,Tuchola,2840,Kamień,2810,Gniezno,8341,Gniezno
328,9011,Świecie,8364,Gdańsk,2806,Włocławek,8341,Gniezno
329,9012,Mińsk,8362,Białoruś (Obolce Stare),8347,Wilno,8341,Gniezno
334,9023,Malbork,8356,Malbork,8344,Chełmno,8341,Gniezno
337,9025,Starogard,8364,Gdańsk,2806,Włocławek,8341,Gniezno
339,9027,Orneta,9077,Warmia,8354,Warmia,8340,Rzym
335,9022,Bytów,8364,Gdańsk,2806,Włocławek,8341,Gniezno
336,9024,Reszel,9077,Warmia,8354,Warmia,8340,Rzym
340,9028,Lidzbark Warmiński,9077,Warmia,8354,Warmia,8340,Rzym
341,9029,Nowy Staw,8356,Malbork,8344,Chełmno,8341,Gniezno
342,9030,Elbląg,9077,Warmia,8354,Warmia,8340,Rzym
343,9035,Frombork,9077,Warmia,8354,Warmia,8340,Rzym
344,9036,Orsza,8362,Białoruś (Obolce Stare),8347,Wilno,8341,Gniezno
345,9037,Braniewo,9077,Warmia,8354,Warmia,8340,Rzym
346,9038,Witebsk,8362,Białoruś (Obolce Stare),8347,Wilno,8341,Gniezno
350,9053,Wiłkomierz,8363,Wilno,8347,Wilno,8341,Gniezno
347,9031,Tczew,8364,Gdańsk,2806,Włocławek,8341,Gniezno
348,9051,Świr,8362,Białoruś (Obolce Stare),8347,Wilno,8341,Gniezno
349,9052,Pobojsk,8363,Wilno,8347,Wilno,8341,Gniezno
351,9032,Troki,8363,Wilno,8347,Wilno,8341,Gniezno
352,9054,Kroki,9078,Żmudź,8348,Żmudź,8341,Gniezno
374,9069,Smoleńsk,9072,Smoleńsk,8346,Smoleńsk,8341,Gniezno
353,9033,Żuławki,8356,Malbork,8344,Chełmno,8341,Gniezno
354,9034,Pieniężno,9077,Warmia,8354,Warmia,8340,Rzym
355,9039,Wilno,8363,Wilno,8347,Wilno,8341,Gniezno
356,9040,Gdańsk,8364,Gdańsk,2806,Włocławek,8341,Gniezno
357,9041,Simno,8363,Wilno,8347,Wilno,8341,Gniezno
358,9042,Mirachowo,8364,Gdańsk,2806,Włocławek,8341,Gniezno
359,9043,Wielona,9078,Żmudź,8348,Żmudź,8341,Gniezno
360,9044,Olwita,8363,Wilno,8347,Wilno,8341,Gniezno
361,9045,Radoszkowice,8362,Białoruś (Obolce Stare),8347,Wilno,8341,Gniezno
362,9046,Oszmiana,8362,Białoruś (Obolce Stare),8347,Wilno,8341,Gniezno
363,9047,Lębork,8364,Gdańsk,2806,Włocławek,8341,Gniezno
364,9048,Puck,8364,Gdańsk,2806,Włocławek,8341,Gniezno
365,9049,Połock,8362,Białoruś (Obolce Stare),8347,Wilno,8341,Gniezno
366,9055,Szydłów,9078,Żmudź,8348,Żmudź,8341,Gniezno
367,9068,Inflanty,9071,Inflanty,8345,Inflanty,8341,Gniezno
368,9056,Retów,9078,Żmudź,8348,Żmudź,8341,Gniezno
369,9050,Kowno,8363,Wilno,8347,Wilno,8341,Gniezno
370,9057,Wornie,9078,Żmudź,8348,Żmudź,8341,Gniezno
371,9061,Szkudy,9078,Żmudź,8348,Żmudź,8341,Gniezno
372,9058,Brasław,8362,Białoruś (Obolce Stare),8347,Wilno,8341,Gniezno
373,9064,Olsiady,9078,Żmudź,8348,Żmudź,8341,Gniezno
375,9059,Szadów,9078,Żmudź,8348,Żmudź,8341,Gniezno
376,9071,Kurlandia,9071,Inflanty,8345,Inflanty,8341,Gniezno
377,9060,Kupiszki,8363,Wilno,8347,Wilno,8341,Gniezno
378,9062,Janiszki,9078,Żmudź,8348,Żmudź,8341,Gniezno
379,9063,Wieksznie,9078,Żmudź,8348,Żmudź,8341,Gniezno
