table,index,year,value,villages,near,is_sum
100,rus_przmysl,1734,1686,0,0,0
100,rus_przmysl,1735,1560,0,0,0
100,rus_przmysl,1736,1560,0,0,0
100,rus_przmysl,1737,1628,0,0,0
100,rus_przmysl,1738,1671,0,0,0
100,rus_przmysl,1739,1622,0,0,0
100,rus_przmysl,1741,1279,0,0,0
100,rus_przmysl,1742,818,0,0,0
100,rus_przmysl,1743,1638,0,0,0
100,rus_przmysl,1744,1728,0,0,0
100,rus_przmysl,1745,2068,0,0,0
100,rus_przmysl,1746,2068,0,0,0
100,rus_przmysl,1747,1968,0,0,0
100,rus_przmysl,1748,2008,0,0,0
100,rus_przmysl,1749,1743,0,0,0
100,rus_przmysl,1751,2883,0,0,0
100,rus_przmysl,1752,1153,0,0,0
100,rus_przmysl,1753,1172,0,0,0
100,rus_przmysl,1754,1200,0,0,0
100,rus_przmysl,1755,2874,0,0,0
100,rus_przmysl,1756,1563,0,0,0
100,rus_przmysl,1757,1408,0,0,0
100,rus_przmysl,1758,2145,0,0,0
100,rus_przmysl,1760,1542,0,0,0
100,rus_przmysl,1761,1225,0,0,0
100,rus_przmysl,1762,1677,0,0,0
100,rus_przmysl,1763,2000,0,0,0
100,pdl_smtycz,1736,800,0,0,0
100,maz_kscln_nr,1732,50,0,0,0
100,maz_kscln_nr,1739,40,0,0,0
100,wol_mdzyrzcz_krck,1757,2400,0,0,0
100,lbl_glsk,1738,800,0,0,0
1000,pod_bchtyn,1734,50,0,0,0
1000,pod_bchtyn,1736,50,0,0,0
1000,pod_bchtyn,1737,52,0,0,0
1000,pod_bchtyn,1738,75,0,0,0
1000,pod_bchtyn,1741,80,0,0,0
1000,pod_bchtyn,1743,154,0,0,0
1000,pod_bchtyn,1744,154,0,0,0
1000,pod_bchtyn,1745,84,0,0,0
1000,pod_bchtyn,1746,154,0,0,0
1000,pod_bchtyn,1747,100,0,0,0
1000,pod_bchtyn,1748,125,0,0,0
1000,pod_bchtyn,1749,130,0,0,0
1000,pod_bchtyn,1751,138,0,0,0
1000,pod_bchtyn,1752,145,0,0,0
1000,pod_bchtyn,1753,135,0,0,0
1000,pod_bchtyn,1754,136,0,0,0
1000,pod_bchtyn,1755,140,0,0,0
1000,pod_bchtyn,1757,142,0,0,0
1000,pod_bchtyn,1758,144,0,0,0
1000,pod_bchtyn,1760,172,0,0,0
1000,pod_bchtyn,1761,179,0,0,0
1000,pod_bchtyn,1762,179,0,0,0
1000,pod_bchtyn,1763,180,0,0,0
1000,pod_bchtyn,1764,180,0,0,0
1000,pod_bln,1721,300,0,0,0
1000,pod_bln,1722,150,0,0,0
1000,pod_bln,1729,272,0,0,0
1000,pod_bln,1734,275,0,0,0
1000,pod_bln,1736,150,0,0,0
1000,pod_bln,1737,140,0,0,0
1000,pod_bln,1738,240,0,0,0
1000,pod_bln,1741,140,0,0,0
1000,pod_bln,1743,142,0,0,0
1000,pod_bln,1744,208,0,0,0
1000,pod_bln,1745,170,0,0,0
1000,pod_bln,1746,170,0,0,0
1000,pod_bln,1747,120,0,0,0
1000,pod_bln,1748,121,0,0,0
1000,pod_bln,1749,132,0,0,0
1000,pod_bln,1751,200,0,0,0
1000,pod_bln,1752,217,0,0,0
1000,pod_bln,1753,318,0,0,0
1000,pod_bln,1754,280,0,0,0
1000,pod_bln,1755,300,0,0,0
1000,pod_bln,1757,224,0,0,0
1000,pod_bln,1758,200,0,0,0
1000,pod_bln,1761,200,0,0,0
1000,pod_bln,1762,200,0,0,0
1000,pod_bln,1763,195,0,0,0
1000,pod_bln,1764,230,0,0,0
1000,pod_br,1722,650,0,0,0
1000,pod_br,1723,731,0,0,0
1000,pod_br,1724,780,0,0,0
1000,pod_br,1725,1163,0,0,0
1000,pod_br,1726,1050,0,0,0
1000,pod_br,1727,1340,0,0,0
1000,pod_br,1728,780,0,0,0
1000,pod_br,1732,1136,0,0,0
1000,pod_br,1738,531,0,0,0
1000,pod_br,1741,1404,0,0,0
1000,pod_br,1744,580,0,0,0
1000,pod_br,1745,1300,0,0,0
1000,pod_br,1746,1194,0,0,0
1000,pod_br,1747,1194,0,0,0
1000,pod_br,1748,1550,0,0,0
1000,pod_br,1749,1492,0,0,0
1000,pod_br,1751,812,0,0,0
1000,pod_br,1753,1400,0,0,0
1000,pod_br,1754,1412,0,0,0
1000,pod_br,1755,1460,0,0,0
1000,pod_br,1758,1268,0,0,0
1000,pod_br,1760,1560,0,0,0
1000,pod_br,1761,1580,0,0,0
1000,pod_br,1762,1550,0,0,0
1000,pod_br,1763,1500,0,0,0
1000,pod_br,1764,1710,0,0,0
1000,pod_blcz,1721,170,0,0,0
1000,pod_blcz,1723,124,0,0,0
1000,pod_blcz,1724,168,0,0,0
1000,pod_blcz,1725,140,0,0,0
1000,pod_blcz,1727,100,0,0,0
1000,pod_blcz,1728,100,0,0,0
1000,pod_blcz,1729,140,0,0,0
1000,pod_blcz,1731,143,0,0,0
1000,pod_blcz,1733,150,0,0,0
1000,pod_blcz,1734,178,0,0,0
1000,pod_blcz,1736,150,0,0,0
1000,pod_blcz,1737,104,0,0,0
1000,pod_blcz,1738,120,0,0,0
1000,pod_blcz,1741,80,0,0,0
1000,pod_blcz,1743,80,0,0,0
1000,pod_blcz,1752,104,0,0,0
1000,pod_blcz,1753,88,0,0,0
1000,pod_blcz,1754,86,0,0,0
1000,pod_blcz,1755,90,0,0,0
1000,pod_blcz,1757,90,0,0,0
1000,pod_blcz,1758,90,0,0,0
1000,pod_blcz,1760,100,0,0,0
1000,pod_blcz,1761,94,0,0,0
1000,pod_blcz,1762,98,0,0,0
1000,pod_blcz,1763,90,0,0,0
1000,pod_blcz,1764,100,0,0,0
1000,pod_brk,1729,40,0,0,0
1000,pod_brk,1731,44,0,0,0
1000,pod_brszczw,1720,270,0,0,0
1000,pod_brszczw,1721,130,0,0,0
1000,pod_brszczw,1722,150,0,0,0
1000,pod_brszczw,1723,58,0,0,0
1000,pod_brszczw,1725,650,0,0,0
1000,pod_brszczw,1726,510,0,0,0
1000,pod_brszczw,1729,585,0,0,0
1000,pod_brszczw,1731,484,0,0,0
1000,pod_brszczw,1732,552,0,0,0
1000,pod_brszczw,1733,528,0,0,0
1000,pod_brszczw,1734,580,0,0,0
1000,pod_brszczw,1736,450,0,0,0
1000,pod_brszczw,1738,450,0,0,0
1000,pod_brszczw,1744,562,0,0,0
1000,pod_brszczw,1746,530,0,0,0
1000,pod_brszczw,1752,559,0,0,0
1000,pod_brszczw,1757,476,0,0,0
1000,pod_brszczw,1758,480,0,0,0
1000,pod_brszczw,1760,450,0,0,0
1000,pod_brszczw,1762,450,0,0,0
1000,pod_brszczw,1763,420,0,0,0
1000,pod_brszczw,1764,590,0,0,0
1000,pod_chmlnk,1720,220,0,0,0
1000,pod_chmlnk,1721,200,0,0,0
1000,pod_chmlnk,1722,270,0,0,0
1000,pod_chmlnk,1723,414,0,0,0
1000,pod_chmlnk,1724,450,0,0,0
1000,pod_chmlnk,1727,240,0,0,0
1000,pod_chmlnk,1728,240,0,0,0
1000,pod_chmlnk,1729,240,0,0,0
1000,pod_chmlnk,1731,240,0,0,0
1000,pod_chmlnk,1732,312,0,0,0
1000,pod_chmlnk,1733,399,0,0,0
1000,pod_chmlnk,1734,400,0,0,0
1000,pod_chmlnk,1736,450,0,0,0
1000,pod_chmlnk,1737,740,0,0,0
1000,pod_chmlnk,1738,480,0,0,0
1000,pod_chmlnk,1741,550,0,0,0
