table,name,viv,index,kalik_id,newname,lon,lat
802,przebyszew,maz,maz_przbyszw,1064,"",20.85,51.6666666666667
802,goszczyn,maz,maz_gszczyn,1053,"",20.85,51.73333333
802,ozarow_mazowiecki,maz,maz_zrw_mzwck,1062,"",20.85,52.2333333333333
802,grojec,maz,maz_grjc,1051,"",20.86666667,51.86666667
703,zabno,snd,snd_zbn,1013,"",20.8876863388886,50.135262413324
301,jablonna,maz,maz_jblnn,623,"",20.93333333,52.36666667
703,stopnica,snd,snd_stpnc,995,"",20.9436859366947,50.4395537829802
701,grybow,krk,krk_grybw,927,"",20.95,49.63333333
701,bobow,krk,krk_bbw,922,"",20.95,49.7166666666667
803,bialobrzegi,snd,snd_blbrzg,1077,"",20.95,51.65
703,tarnow,snd,snd_trnw,997,"",20.9896751202111,50.0133282941541
703,szydlow,snd,snd_szydlw,996,"",21.0009831469214,50.5925936931935
802,piaseczno,maz,maz_psczn,1063,"",21.03333333,52.08333333
703,pacanow,snd,snd_pcnw,984,"",21.0391764821201,50.4006078212925
703,rakow,snd,snd_rkw,990,"",21.0426018622044,50.6734751113508
703,olesnica,snd,snd_lsnc,981,"",21.0633957334977,50.4498570958185
703,kurozweki,snd,snd_krzwk,1007,"",21.1025098018942,50.5902310768377
803,jedlinsk,snd,snd_jdlnsk,1107,"",21.11666667,51.51666667
803,radom,snd,snd_rdm,1092,"",21.1420895371657,51.4010672853102
802,sobikow,maz,maz_sbkw,1067,"",21.15,51.9666666666667
701,gorlice,krk,krk_grlc,945,"",21.16666667,49.66666667
703,malopolski_staszow,snd,snd_mlplsk_stszw,979,"",21.16666667,50.55
401,radzymin,maz,maz_rdzymn,668,"",21.18333333,52.41666667
401,karczew,maz,maz_krczw,665,"",21.25,52.08333333
301,lipniki,maz,maz_lpnk,626,"",21.2666666666667,52.9
703,bogoria,snd,snd_bgr,968,"",21.26666667,50.66666667
703,iwaniska,snd,snd_wnsk,974,"",21.2763787491002,50.7322616547403
703,polaniec,snd,snd_plnc,1010,"",21.2820452919938,50.4318926873371
802,warka,maz,maz_wrk,1069,"",21.2,51.78333333
803,glowaczow,snd,snd_glwczw,1081,"",21.3166666666667,51.6166666666667
301,myszyniec,maz,maz_myszync,627,"",21.35,53.38333333
