table,index,id,community,community_code,land,table_abbr,potential,lon,lat,newname
1100,rus_dbck,122,przemysl,przmysl,Autonomous,przemysl,40,22.3963050095301,49.8205162710256,""
1100,rus_dydn,123,przemysl,przmysl,Autonomous,przemysl,40,22.1666666666667,49.6833333333333,""
1100,rus_dynw,124,przemysl,przmysl,Autonomous,przemysl,1030,22.2387066300105,49.8155331366544,""
1100,rus_flsztyn,125,przemysl,przmysl,Autonomous,przemysl,150,22.9666666666667,49.5333333333333,""
1100,rus_frdrpl,126,przemysl,przmysl,Autonomous,przemysl,40,22.75,49.7,""
1100,rus_hskw,128,przemysl,przmysl,Autonomous,przemysl,120,22.9880212636859,49.7159816387095,""
1100,rus_hsw,129,przemysl,przmysl,Autonomous,przemysl,50,22.2833333333333,49.9833333333333,""
1100,rus_skn,130,przemysl,przmysl,Autonomous,przemysl,30,22.4333333333333,49.7833333333333,""
1100,rus_zdbk,131,przemysl,przmysl,Autonomous,przemysl,120,22.1166666666667,49.75,""
1100,rus_jrslw,132,przemysl,przmysl,Autonomous,przemysl,1977,22.7153476274968,50.0095083215402,""
1100,rus_jwrnk,133,przemysl,przmysl,Autonomous,przemysl,110,22.3166666666667,49.7333333333333,""
1100,rus_jwrnk_rsk,134,przemysl,przmysl,Autonomous,przemysl,30,22.3166666666667,49.7333333333333,""
1100,rus_krkwc,135,przemysl,przmysl,Autonomous,przemysl,410,23.1569190174614,49.9576305264845,""
1100,rus_krknc,136,przemysl,przmysl,Autonomous,przemysl,0,23.1666666666667,49.6833333333333,""
1100,rus_krzszw,137,przemysl,przmysl,Autonomous,przemysl,40,22.3471344669615,50.398190472345,""
1100,rus_krzywcz,138,przemysl,przmysl,Autonomous,przemysl,50,22.5360033562236,49.7969008245707,""
1100,rus_lzjsk,139,przemysl,przmysl,Autonomous,przemysl,1050,22.4322199159075,50.2482101130387,""
1100,rus_lbmrz,140,przemysl,przmysl,Autonomous,przemysl,480,,,""
1100,rus_mdyk,141,przemysl,przmysl,Autonomous,przemysl,230,22.9333333333333,49.8,""
1100,rus_mscsk,142,przemysl,przmysl,Autonomous,przemysl,1200,23.1404868823332,49.7926234475512,""
1100,rus_nwmst,143,przemysl,przmysl,Autonomous,przemysl,218,22.8666666666667,49.6166666666667,""
1100,rus_nwslk,144,przemysl,przmysl,Autonomous,przemysl,50,22.7333333333333,49.6333333333333,""
