,Kahal,name,pepole,childs,,,,
v,Miasto Wojniłów,Siedliska,3,1,,,,
v,Miasto Wojniłów,Demeszkowce,5,1,,,,
v,Miasto Wojniłów,Ostrów,9,1,,,,
v,Miasto Wojniłów,Kurypów,8,,,,,
v,Miasto Wojniłów,Pukasowce,10,1,,,,
v,Miasto Wojniłów,Bludniki,14,,,,,
v,Miasto Wojniłów,Temerowce,10,,,,,
v,Miasto Wojniłów,Medynia,8,,,,,
v,Miasto Wojniłów,Przewoziec,8,2,,,,
v,Miasto Wojniłów,Babin,9,,,,,
v,Miasto Wojniłów,Dołpotów,6,1,,,,
v,Summa,,495,42,,,,
v,Miasto Mikulince,,406,21,,,,
v,Miasto Mikulince,Ludwikówka,4,,,,,
v,Miasto Mikulince,Luczki,3,,,,,
v,Miasto Mikulince,Czartorya,6,,,,,
v,Miasto Mikulince,Myszkowice,10,1,,,,
v,Miasto Mikulince,Kozówka,8,,,,,
v,Miasto Mikulince,Skomorochy,10,,,,,
v,Miasto Mikulince,Proszowa,4,,,,,
v,Miasto Mikulince,Wladyczyn,9,,,,,
v,Miasto Mikulince,Krzywki,3,,,,,
,Summa,,463,22,,,,
v,Miasto Towste,,325,13,,,,
v,Miasto Towste,Dubowce,6,,,,,
v,Miasto Towste,Soroki,14,11,,,,
v,Miasto Towste,Kont,2,,,,,
v,Miasto Towste,Krasne,10,2,,,,
v,Miasto Towste,Sadzawka,5,1,,,,
v,Miasto Towste,Leżanówka,4,,,,,
v,Miasto Towste,Stawki,6,1,,,,
v,Miasto Towste,Bilitówka,5,1,,,,
v,Miasto Towste,Nowosiółka,4,,,,,
v,Miasto Towste,Berki,5,1,,,,
v,Miasto Towste,Zielona,5,1,,,,
v,Miasto Towste,Rasztowce,11,,,,,
v,Summa,,402,21,,,,
v,Miasto Kopyczyńce,,321,25,,,,
v,Miasto Kopyczyńce,Myszkowce,6,,,,,
v,Miasto Kopyczyńce,Kapuściany,7,1,,,,
v,Miasto Kopyczyńce,Nizborek,46,3,,,,
v,Miasto Kopyczyńce,Kociubińce,12,2,,,,
v,Miasto Kopyczyńce,Kobince,4,,,,,
v,Miasto Kopyczyńce,Kotówka,11,,,,,
v,Summa,,407,31,,,,
v,Miasto Suchostaw czyli Ja,,,,,,,
v,Miasto Suchostaw czyli Ja,błonów,197,16,,,,
v,Miasto Suchostaw czyli Ja,Jabłonów,3,1,,,,
v,Miasto Suchostaw czyli Ja,Wisła,6,,,,,
v,Miasto Suchostaw czyli Ja,Czelejów,4,,,,,
v,Miasto Suchostaw czyli Ja,Karczma Suchostawska,3,,,,,
v,Summa,,213,17,,,,
v,Miasto Czortków,,693,51,,,,
v,Miasto Czortków,Czerczaszczyzna,2,,,,,
v,Miasto Czortków,Białobużnica,14,,,,,
v,Miasto Czortków,Kalinowszczyzna,9,1,,,,
v,Miasto Czortków,Siemiakowce,3,1,,,,
v,Miasto Czortków,Białypotok,7,,,,,
v,Miasto Czortków,Byczkowce,8,,,,,
v,Miasto Czortków,Chomikówka,3,,,,,
v,Miasto Czortków,Skordyńce,8,,,,,
v,Miasto Czortków,Tudorów,6,,,,,
v,Miasto Czortków,Oryszkowce,5,,,,,
v,Miasto Czortków,Majdan,6,,,,,
v,Miasto Czortków,Uhrynie,8,,,,,
v,Miasto Czortków,Kaliczówka,2,,,,,
v,Miasto Czortków,Biała,28,,,,,
v,Miasto Czortków,Hadynkowce,10,1,,,,
,Summa,,812,56,,,,
v,Miasto Skałat,,502,38,,,,
v,Miasto Skałat,Nowosiółka,10,1,,,,
v,Miasto Skałat,Stary Skałat,6,1,,,,
v,Miasto Skałat,Pułpanówka,9,2,,,,
v,Miasto Skałat,Chmieliska,10,2,,,,
v,Miasto Skałat,Mołczanówka,7,,,,,
v,Miasto Skałat,Rossochowacie,8,,,,,
v,Miasto Skałat,Kamionki,12,1,,,,
v,Miasto Skałat,Bodganówka,9,,,,,
v,Miasto Skałat,Kołodziejówka,8,,,,,
v,Miasto Skałat,Panasówka,7,1,,,,
v,Miasto Skałat,Zerebki,16,,,,,
v,Miasto Skałat,Syrocko,19,,,,,
v,Miasto Skałat,Poznanka,5,,,,,
v,Miasto Skałat,Krzywe,5,,,,,
v,Miasto Skałat,Horodnica,7,,,,,
,Summa,,640,46,,,,
v,Miasto Janów,,351,39,,,,
v,Miasto Janów,Romanówka,9,,,,,
v,Miasto Janów,Mogilnica,11,,,,,
v,Miasto Janów,Wieniawa,9,,,,,
v,Miasto Janów,Podhajczyki,5,,,,,
v,Miasto Janów,Wybranówka,5,,,,,
v,Miasto Janów,Zniesienie,7,,,,,
v,Miasto Janów,Kobywłoki,17,,,,,
v,Miasto Janów,Inszany,9,,,,,
v,Miasto Janów,Młyniska,7,,,,,
v,Miasto Janów,Długie,9,,,,,
v,Miasto Janów,Dereniów,8,,,,,
v,Summa,,447,40,,,,
v,Miasto Budzanów,,363,23,,,,
v,Miasto Budzanów,Skomorosze,7,,,,,
v,Miasto Budzanów,Zwiniacze,5,,,,,
v,Miasto Budzanów,Kosów,8,,,,,
v,Miasto Budzanów,Łaskowce,8,,,,,
v,Miasto Budzanów,Wirzbowiec,9,2,,,,
,Summa,,400,25,,,,
v,Miasto Gwoździec,,541,19,,,,
v,Miasto Gwoździec,Słobudka,7,1,,,,
v,Miasto Gwoździec,Chwaliboda,5,1,,,,
v,Miasto Gwoździec,Winograd,20,,,,,
v,Miasto Gwoździec,Rosochacze,12,1,,,,
v,Miasto Gwoździec,Pruchniszcze,5,2,,,,
v,Miasto Gwoździec,Ostapkowce,3,,,,,
v,Miasto Gwoździec,Kamioneczki,8,,,,,
v,Miasto Gwoździec,Piodyki,7,,,,,
v,Miasto Gwoździec,Debysławce,4,,,,,
v,Miasto Gwoździec,Zukocin’,4,,,,,
v,Miasto Gwoździec,Pererów,1,,,,,
v,Miasto Gwoździec,Targowica,10,1,,,,
v,Miasto Gwoździec,Wiczbowce,9,2,,,,
v,Miasto Gwoździec,Soroki,8,,,,,
v,Miasto Gwoździec,Rohyn,7,,,,,
v,Miasto Gwoździec,Bataworówka,8,,,,,
v,Miasto Zabłotów,,924,62,,,,
v,Miasto Zabłotów,Kielechów,3,,,,,
v,Miasto Zabłotów,Zadubrowce,4,,,,,
v,Miasto Zabłotów,Oleszków,9,,,,,
v,Miasto Zabłotów,Krasnostawce,6,1,,,,
V,Miasto Bohorodczany,,543,21,,,,
V,Miasto Bohorodczany,Sadzawka,8,,,,,
V,Miasto Bohorodczany,Stare Bohorodczany,6,,,,,
V,Miasto Bohorodczany,Głębokie,8,,,,,
V,Miasto Bohorodczany,Zwiniacz,6,,,,,
V,Miasto Bohorodczany,Chmielówka,2,,,,,
V,Miasto Bohorodczany,Rosólna,25,2,,,,
V,Miasto Bohorodczany,Kosmacz,6,,,,,
V,Miasto Bohorodczany,Grabowiec,7,,,,,
V,Miasto Bohorodczany,Pochówka,5,,,,,
V,Miasto Bohorodczany,Roholina Górna,8,2,,,,
V,Miasto Bohorodczany,Dolna,11,,,,,
V,Miasto Bohorodczany,Dachówce,11,1,,,,
,Summa,,646,26,,,,
v,Miasto Kamionki Wielkie,,34,3,,,,
v,Miasto Kamionki Wielkie,Jakubówka,7,1,,,,
v,Miasto Kamionki Wielkie,Bohorodyczyn,4,1,,,,
v,Miasto Kamionki Wielkie,Kostów,6,,,,,
v,Miasto Kamionki Wielkie,Żydówka z dziećmi w wię-,,,,,,
v,Miasto Kamionki Wielkie,zieniu w Kamionkach,5,,,,,
v,Miasto Ottenia (Otynia),,256,40,,,,
v,Miasto Ottenia (Otynia),Hołosków,7,1,,,,
v,Miasto Ottenia (Otynia),Skopówka,3,,,,,
v,Miasto Ottenia (Otynia),Czarnołocze,5,,,,,
v,Miasto Ottenia (Otynia),Słobudka,6,1,,,,
v,Miasto Ottenia (Otynia),Przerost,6,1,,,,
v,Miasto Ottenia (Otynia),Winograd,5,1,,,,
v,Miasto Ottenia (Otynia),Wałeśnica,2,,,,,
v,Miasto Ottenia (Otynia),Hawryłówka,6,1,,,,
v,Miasto Ottenia (Otynia),Maydan,4,,,,,
v,Miasto Ottenia (Otynia),Maydan (II),2,,,,,
v,Miasto Ottenia (Otynia),Glinki,2,,,,,
v,Miasto Ottenia (Otynia),Targowica,5,1,,,,
v,Miasto Ottenia (Otynia),Worona,7,1,,,,
v,Miasto Ottenia (Otynia),Zakrzewce,5,1,,,,
v,Miasto Ottenia (Otynia),Korszów,8,1,,,,
v,Miasto Ottenia (Otynia),Strubków—,5,1,,,,
v,Miasto Ottenia (Otynia),Babinka,3,,,,,
v,Miasto Ottenia (Otynia),Krasiłówka,6,1,,,,
v,Miasto Ottenia (Otynia),Krzywobuty,2,,,,,
v,Miasto Łysieć,,116,10,,,,
v,Miasto Łysieć,Iwanikówka,7,,,,,
v,Miasto Łysieć,Posiecz,6,,,,,
v,Miasto Łysieć,Radna,6,,,,,
v,Miasto Łysieć,Drohomirczany,8,1,,,,
v,Miasto Łysieć,Łysieć Stary,5,1,,,,
v,Miasto Łysieć,Stebnik,2,1,,,,
v,Miasto Łysieć,Czerniejów,14,1,,,,
v,Miasto Łysieć,Chryplin,3,1,,,,
v,Miasto Łysieć,Chomików,4,1,,,,
v,Miasto Nadworna,,937,65,,,,
v,Miasto Nadworna,Przerosła,4,1,,,,
