Voivodeship,Powiat,Name,type,Pop,total,
Sandomierz,Pilzno,Radomysl,with villages,364,,
Sandomierz,Pilzno,Dembica,,911,,
Sandomierz,Pilzno,Wielpole,with villages,309,,
Sandomierz,Pilzno,Przeclaw,with villages,129,,
Sandomierz,Pilzno,Zochow,with villages,94,,
,,,,,,
,,,,,,
Sandomierz,Radom,Kozienice,with villages,1365,7727,
Sandomierz,Radom,Ulenice,,3,,
Sandomierz,Radom,Szydlowiec,with villages,902,,
Sandomierz,Radom,Przytyk,with villages,795,,
Sandomierz,Radom,Gniewoszow,with villages,464,,
Sandomierz,Radom,Klwow,,34,,
Sandomierz,Radom,Janowiec,with villages,341,,
Sandomierz,Radom,Granica,with villages,325,,
Sandomierz,Radom,Lipsko,with villages,431,,
Sandomierz,Radom,Ryczywol,with villages,1116,,
Sandomierz,Radom,Zwolen,with villages,1168,,
Sandomierz,Radom,Przysucha,with villages,528,,
Sandomierz,Radom,Radom,with villages,67,,
Sandomierz,Radom,Sienno,,182,,
Sandomierz,Radom,With Ilza Baltawska Ruda to Sienno,,6,,
,,,,,,
,,,,,,
Sandomierz,Stezyce,Zelechow,with villages,1464,1885,
Sandomierz,Stezyce,Bobrowniki,with villages,301,,
Sandomierz,Stezyce,Lysoboki,with villages,120,,
,,,,,,
Sandomierz,Opoczno,Opoczno,with villages,1349,3611,
Sandomierz,Opoczno,Drzewica,with villages,51,,
Sandomierz,Opoczno,Checiny,with villages,912,,
Sandomierz,Opoczno,Przedborz,,665,,
Sandomierz,Opoczno,Sobkow,with villages,141,,
Sandomierz,Opoczno,Wloszczowa,with villages,282,,
Sandomierz,Opoczno,Secemin,with villages,211,,
,,,,,,
Brzesc Kujawski,,Brzesc Kujawski,Kahal,164,1267,
Brzesc Kujawski,,Przedecz,synagogue,210,,
Brzesc Kujawski,,Kowal,,260,,
Brzesc Kujawski,,Lubraniec,synagogue,249,,
Brzesc Kujawski,,Izbica,,215,,
Brzesc Kujawski,,Piotrkow,,169,,
,,,,,,
Inowroclaw Voivodeship,,In the Inowroclaw and villages,,980,1422,
Inowroclaw Voivodeship,,Fordon,,385,,
Inowroclaw Voivodeship,,Zoledowo,,13,,
Inowroclaw Voivodeship,,In the village of Gozdyniuie J.M.P. Zbyszewski,,44,,
,,,,,,
Chelmno,,In the Ostromecko where there is a,synagogue,39,577,
Chelmno,,In Torun parish,,43,,
