cname,category
zornitius,4
jos. schlegel,4
johann seeliger,4
jos. pikarskij,3
jan dimiananowicz,3
wawrz. klososkij,3
franz sacitoskij,3
georg smolskij,3
moses lejser,1
simon kaspinowicz,1
martin templin,4
dawid pierras,3
abraham gerson,1
abraham chaim,1
moses michael,1
jankel moses,1
leib esro,1
abel moses,1
kalm gerson,1
lewin kallmann,1
rub. kalmann,1
joh. schaiba,4
wdowa zaleska,3
ambros juchnicki,3
knorr,4
leijser borach,1
moses leijser,1
lapol marcus,1
israel hirsch,1
choni hirsch,1
hirsch koppel,1
jankiel moses,1
gedelge meloch,1
jan luckiewicz,3
maciej koslocki,3
süshenguth,4
taube leib,1
stehller,4
leib nosen,1
baer lacher,1
johann linker,4
wdowa kreshe,4
jacob jochim,4
moses hirsch,1
benjamin abraham,1
samse schmuel,1
abrah. meijer,1
siemon feibusch,1
david jankel,1
jankel juda,1
minde,5
radzibor,3
isaac jude,1
isaac,1
pereth baer,1
jankel jude,1
arje marcus,1
chaim moses,1
wirsbolowski,3
salamon calleb,1
hirsch schmul,1
leib borach,1
leijser hirsch,1
leijser moses,1
wolff david,1
israel owschaij,1
leib abraham,1
aron leib,1
haagen,4
mich. werenoski,3
albr. puch,4
gottfried klein,4
leib leijser,1
salmon leib,1
süssko marcus,1
joel benjamin,1
johann scheiba,4
schael,4
jacob piekarski,3
ambros. żakoskij,3
franz wilczijnski,3
andr. lukażijnski,3
johann waijewedka,3
lukaszinskij,3
pawel stawckowski,3
maciej michalowicz,3
hohenhausen,4
steph. grusczewicz,3
baer,1
stanislaw lukewicz,3
wdowa holulawicz,3
pakockij,3
andr. kosakowicz,3
cchaie abraham,1
nadolnij,3
benjam. siemon,1
wolff haskie,1
jacob dubżeijko,3
jan horodinskij,3
wolff marcus,1
schlaum mann,1
abrah. schaps,1
kraeger,4
leib marcus,1
jank chaim,1
hillel jankel,1
fedalge abraham,1
jankel david,1
pawel dubjeijko,3
leib israel,1
sutnick,1
israel hille,1
march israel,1
lewin mendel,1
david meijer,1
rumpeli,4
isaac abraham,1
chaim chaim,1
hirsch moses,1
meijer koppel,1
jos. schlom,1
drescher,4
michael gerson,1
josel mendel,1
isaac meijer,1
baer markus,1
stegmann,4
radziczeskij,3
hirsch marcus,1
chaie aron,1
hirsch schaie,1
hirsch nochim,1
vincent cudzinski,3
piotr luszcz,3
joze. deoli,3
wustrack,4
wdowa zakrzeska,3
michael ciechanowski,3
marc. jatachoskij,3
wdowa schimann,4
rogoskij,3
grube,4
wdowa pieotorska,3
winkelmann,4
laie owschaie,1
chaim meijer,1
moses baer,1
isaac josel,1
maijer hirsch,1
schlesinger,4
pinc. aron,1
joskel leib,1
hertz,1
david moses,1
jacobson,1
jahn,4
sarel moses,1
josel israel,1
rahael moses,1
bartel jasobeck,3
jan msanskij,3
ant. jasobeck,3
math. żubrzijcki,3
aug. puchalski,3
adam nyliżynski,3
nikol. hdlukewicz,3
jacob weilesczuk,3
wdowa jachnicka,3
