name,table,community,community_code,land,table_title,table_abbr,voivodeship,index,potential,year,value,villages_value,near_value,geometry
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1742,4400,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1743,4413,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1744,4161,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1745,4493,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1746,4493,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1747,4493,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1748,5693,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1749,4488,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1751,5430,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1752,5174,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1753,4456,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1754,4973,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1755,5164,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1756,4562,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1758,3904,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1760,3732,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1761,3675,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1762,1033,0,0,2220452.83934886|6455220.57903561
kazimierz,0100,krakow,krkw,Autonomous,Exterritorial urban communities ,ext,krk,krk_kzmrz,2375,1763,2375,0,0,2220452.83934886|6455220.57903561
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1723,228,0,0,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1724,221,0,0,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1725,2322,0,0,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1726,1708,0,0,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1727,2468,0,0,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1728,2614,0,0,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1729,3221,0,0,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1731,1154,0,0,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1732,1443,0,2196,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1733,1773,0,1100,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1734,1066,0,1100,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1735,970,0,1100,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1736,400,0,900,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1741,505,660,1810,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1742,246,0,1730,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1744,620,530,2900,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1745,300,622,2297,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1746,260,292,2210,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1747,160,210,3131,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1748,1200,398,500,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1749,1518,192,1127,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1751,1430,186,308,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1752,424,470,938,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1753,2332,0,0,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1754,960,0,0,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1755,236,72,2288,2512670.44114656|6666133.30945296
lublin,0100,lublin,lbln,Autonomous,Exterritorial urban communities ,ext,lbl,lbl_lbln,30,1756,1814,0,0,2512670.44114656|6666133.30945296
